,0,1,2,3,4,5,6,7,8,9
0,1,台灣鋼鐵指數,2021-10-18,164.20000,163.95000,166.25000,162.82000,Y,0,2021-10-19
1,2,台灣鋼鐵指數,2021-10-15,163.31000,162.32000,163.96000,162.09000,Y,0,2021-10-19
2,3,台灣鋼鐵指數,2021-10-14,161.36000,160.23000,162.09000,159.68000,Y,0,2021-10-19
3,4,台灣鋼鐵指數,2021-10-13,159.48000,162.93000,163.99000,158.63000,Y,0,2021-10-19
4,5,台灣鋼鐵指數,2021-10-12,162.45000,163.09000,165.42000,161.70000,Y,0,2021-10-19
5,6,台灣鋼鐵指數,2021-10-08,163.61000,168.35000,169.53000,162.93000,Y,0,2021-10-19
6,7,台灣鋼鐵指數,2021-10-07,167.94000,167.59000,168.50000,165.26000,Y,0,2021-10-19
7,8,台灣鋼鐵指數,2021-10-06,168.21000,171.19000,171.68000,167.63000,Y,0,2021-10-19
8,9,台灣鋼鐵指數,2021-10-05,171.06000,166.77000,171.06000,165.03000,Y,0,2021-10-19
9,10,台灣鋼鐵指數,2021-10-04,167.45000,173.22000,173.87000,167.36000,Y,0,2021-10-19
10,11,台灣鋼鐵指數,2021-10-01,172.57000,176.00000,176.09000,171.69000,Y,0,2021-10-19
11,12,台灣鋼鐵指數,2021-09-30,177.06000,172.45000,177.36000,172.45000,Y,0,2021-10-19
12,13,台灣鋼鐵指數,2021-09-29,171.73000,172.01000,174.26000,170.90000,Y,0,2021-10-19
13,14,台灣鋼鐵指數,2021-09-28,173.62000,174.98000,175.15000,173.23000,Y,0,2021-10-19
14,15,台灣鋼鐵指數,2021-09-27,175.14000,175.51000,177.58000,174.74000,Y,0,2021-10-19
15,16,台灣鋼鐵指數,2021-09-24,175.11000,175.72000,176.60000,175.06000,Y,0,2021-10-19
16,17,台灣鋼鐵指數,2021-09-23,174.85000,176.59000,177.84000,173.58000,Y,0,2021-10-19
17,18,台灣鋼鐵指數,2021-09-22,174.94000,178.35000,178.35000,174.72000,Y,0,2021-10-19
18,19,台灣鋼鐵指數,2021-09-17,183.23000,185.26000,187.03000,182.65000,Y,0,2021-10-19
19,20,台灣鋼鐵指數,2021-09-16,185.40000,188.99000,189.66000,185.25000,Y,0,2021-10-19
20,21,台灣鋼鐵指數,2021-09-15,188.67000,189.26000,189.45000,186.27000,Y,0,2021-10-19
21,22,台灣鋼鐵指數,2021-09-14,190.40000,193.38000,194.02000,188.90000,Y,0,2021-10-19
22,23,台灣鋼鐵指數,2021-09-13,193.51000,188.79000,194.39000,188.79000,Y,0,2021-10-19
23,24,台灣鋼鐵指數,2021-09-10,188.53000,186.11000,190.58000,186.11000,Y,0,2021-10-19
24,25,台灣鋼鐵指數,2021-09-09,185.78000,181.41000,185.84000,181.37000,Y,0,2021-10-19
25,26,台灣鋼鐵指數,2021-09-08,181.86000,185.79000,188.66000,181.25000,Y,0,2021-10-19
26,27,台灣鋼鐵指數,2021-09-07,185.88000,187.85000,189.06000,184.30000,Y,0,2021-10-19
27,28,台灣鋼鐵指數,2021-09-06,187.09000,184.80000,189.10000,184.24000,Y,0,2021-10-19
28,29,台灣鋼鐵指數,2021-09-03,183.73000,183.89000,187.32000,183.09000,Y,0,2021-10-19
29,30,台灣鋼鐵指數,2021-09-02,182.64000,187.55000,187.99000,182.64000,Y,0,2021-10-19
30,31,台灣鋼鐵指數,2021-09-01,187.17000,188.88000,191.61000,187.14000,Y,0,2021-10-19
31,32,台灣鋼鐵指數,2021-08-31,188.70000,185.69000,189.31000,184.54000,Y,0,2021-10-19
32,33,台灣鋼鐵指數,2021-08-30,185.61000,184.72000,187.26000,183.39000,Y,0,2021-10-19
33,34,台灣鋼鐵指數,2021-08-27,183.71000,182.88000,184.68000,180.75000,Y,0,2021-10-19
34,35,台灣鋼鐵指數,2021-08-26,182.72000,178.92000,189.18000,178.80000,Y,0,2021-10-19
35,36,台灣鋼鐵指數,2021-08-25,178.42000,178.54000,179.17000,176.53000,Y,0,2021-10-19
36,37,台灣鋼鐵指數,2021-08-24,178.06000,177.16000,178.96000,174.11000,Y,0,2021-10-19
37,38,台灣鋼鐵指數,2021-08-23,176.48000,174.77000,179.22000,174.77000,Y,0,2021-10-19
38,39,台灣鋼鐵指數,2021-08-20,172.90000,174.28000,175.92000,170.57000,Y,0,2021-10-19
39,40,台灣鋼鐵指數,2021-08-19,173.78000,180.52000,180.52000,173.78000,Y,0,2021-10-19
40,41,台灣鋼鐵指數,2021-08-18,182.26000,175.48000,182.87000,172.91000,Y,0,2021-10-19
41,42,台灣鋼鐵指數,2021-08-17,177.21000,186.87000,187.91000,176.25000,Y,0,2021-10-19
42,43,台灣鋼鐵指數,2021-08-16,186.09000,189.82000,191.78000,183.90000,Y,0,2021-10-19
43,44,台灣鋼鐵指數,2021-08-13,188.67000,190.46000,191.26000,187.97000,Y,0,2021-10-19
44,45,台灣鋼鐵指數,2021-08-12,191.68000,186.84000,191.68000,185.99000,Y,0,2021-10-19
45,46,台灣鋼鐵指數,2021-08-11,185.48000,187.46000,191.68000,183.46000,Y,0,2021-10-19
