ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,-5070400.644372616,-80546514.48015173,189575964.43514484,-5070400.644372616,-5070400.644372616,53614557.370108366,53614557.370108366,53614557.370108366,53614557.370108366,53614557.370108366,53614557.370108366,0.0,0.0,0.0,48544156.725735754
2010-02-01,-8484875.36229754,-119664927.23226823,151103895.56304613,-8484875.36229754,-8484875.36229754,26875969.350243654,26875969.350243654,26875969.350243654,26875969.350243654,26875969.350243654,26875969.350243654,0.0,0.0,0.0,18391093.987946115
2010-03-01,-11568917.024817526,-108491788.38768665,166894540.24367157,-11568917.024817526,-11568917.024817526,46613694.573597774,46613694.573597774,46613694.573597774,46613694.573597774,46613694.573597774,46613694.573597774,0.0,0.0,0.0,35044777.54878025
2010-04-01,-14983391.736736504,-105937637.76735334,160134436.23926255,-14983391.736736504,-14983391.736736504,47937228.540520236,47937228.540520236,47937228.540520236,47937228.540520236,47937228.540520236,47937228.540520236,0.0,0.0,0.0,32953836.80378373
2010-05-01,-18287722.11523985,-137867232.34523392,123683000.64486223,-18287722.11523985,-18287722.11523985,14906584.47122203,14906584.47122203,14906584.47122203,14906584.47122203,14906584.47122203,14906584.47122203,0.0,0.0,0.0,-3381137.644017821
2010-06-01,-21702196.833392493,-135661865.45556784,122709601.67328584,-21702196.833392493,-21702196.833392493,16699163.404200971,16699163.404200971,16699163.404200971,16699163.404200971,16699163.404200971,16699163.404200971,0.0,0.0,0.0,-5003033.429191522
2010-07-01,-25006527.22221097,-158513347.62249756,111170172.26762274,-25006527.22221097,-25006527.22221097,12382587.297426403,12382587.297426403,12382587.297426403,12382587.297426403,12382587.297426403,12382587.297426403,0.0,0.0,0.0,-12623939.924784567
2010-08-01,-28421001.97087383,-181707269.21635506,103392509.4506995,-28421001.97087383,-28421001.97087383,-14005901.855144318,-14005901.855144318,-14005901.855144318,-14005901.855144318,-14005901.855144318,-14005901.855144318,0.0,0.0,0.0,-42426903.82601815
2010-09-01,-31835476.73712084,-166170998.0355172,105299265.079793,-31835476.73712084,-31835476.73712084,-6458128.849443476,-6458128.849443476,-6458128.849443476,-6458128.849443476,-6458128.849443476,-6458128.849443476,0.0,0.0,0.0,-38293605.58656432
2010-10-01,-35139807.15629898,-167098679.4713868,98631229.6803245,-35139807.15629898,-35139807.15629898,6352849.748740567,6352849.748740567,6352849.748740567,6352849.748740567,6352849.748740567,6352849.748740567,0.0,0.0,0.0,-28786957.40755841
2010-11-01,-38554281.9264196,-191456519.0640153,80820322.94575413,-38554281.9264196,-38554281.9264196,-16273236.134559222,-16273236.134559222,-16273236.134559222,-16273236.134559222,-16273236.134559222,-16273236.134559222,0.0,0.0,0.0,-54827518.06097882
2010-12-01,-41858612.34287241,-160760103.5217446,114692790.21057868,-41858612.34287241,-41858612.34287241,11500979.927747557,11500979.927747557,11500979.927747557,11500979.927747557,11500979.927747557,11500979.927747557,0.0,0.0,0.0,-30357632.415124856
2011-01-01,-45273087.10296256,-161114786.74377778,119944271.61946031,-45273087.10296256,-45273087.10296256,27464447.00384391,27464447.00384391,27464447.00384391,27464447.00384391,27464447.00384391,27464447.00384391,0.0,0.0,0.0,-17808640.09911865
2011-02-01,-48687561.85912822,-180018731.09982425,93975125.75578116,-48687561.85912822,-48687561.85912822,14557352.127670983,14557352.127670983,14557352.127670983,14557352.127670983,14557352.127670983,14557352.127670983,0.0,0.0,0.0,-34130209.73145724
2011-03-01,-51771603.5953665,-114415956.61326669,153061325.73375455,-51771603.5953665,-51771603.5953665,78099380.93600968,78099380.93600968,78099380.93600968,78099380.93600968,78099380.93600968,78099380.93600968,0.0,0.0,0.0,26327777.340643175
2011-04-01,-55186078.356276385,-142287699.36729467,141404913.33314866,-55186078.356276385,-55186078.356276385,57847519.706635535,57847519.706635535,57847519.706635535,57847519.706635535,57847519.706635535,57847519.706635535,0.0,0.0,0.0,2661441.3503591493
2011-05-01,-58490408.766527906,-182340101.76427546,89976890.73235808,-58490408.766527906,-58490408.766527906,8125898.6036323765,8125898.6036323765,8125898.6036323765,8125898.6036323765,8125898.6036323765,8125898.6036323765,0.0,0.0,0.0,-50364510.16289553
2011-06-01,-61904883.54472721,-204376434.96706754,76572122.01224136,-61904883.54472721,-61904883.54472721,1543984.9510462636,1543984.9510462636,1543984.9510462636,1543984.9510462636,1543984.9510462636,1543984.9510462636,0.0,0.0,0.0,-60360898.59368095
2011-07-01,-65209213.957488514,-192530761.23265356,88286119.03684565,-65209213.957488514,-65209213.957488514,8804554.68656566,8804554.68656566,8804554.68656566,8804554.68656566,8804554.68656566,8804554.68656566,0.0,0.0,0.0,-56404659.270922855
2011-08-01,-68623688.7205263,-219723377.4335085,49936860.203692526,-68623688.7205263,-68623688.7205263,-17451810.990596347,-17451810.990596347,-17451810.990596347,-17451810.990596347,-17451810.990596347,-17451810.990596347,0.0,0.0,0.0,-86075499.71112263
2011-09-01,-72038163.48219384,-200879868.37638858,70218371.45830286,-72038163.48219384,-72038163.48219384,-2647001.5108558787,-2647001.5108558787,-2647001.5108558787,-2647001.5108558787,-2647001.5108558787,-2647001.5108558787,0.0,0.0,0.0,-74685164.99304973
2011-10-01,-75342493.90991908,-187238249.2323448,89357267.40317155,-75342493.90991908,-75342493.90991908,18145299.165975202,18145299.165975202,18145299.165975202,18145299.165975202,18145299.165975202,18145299.165975202,0.0,0.0,0.0,-57197194.743943885
2011-11-01,-78756317.59020522,-210652937.72805363,59017758.09883956,-78756317.59020522,-78756317.59020522,3547135.8149753273,3547135.8149753273,3547135.8149753273,3547135.8149753273,3547135.8149753273,3547135.8149753273,0.0,0.0,0.0,-75209181.7752299
2011-12-01,-82059784.05891779,-220618600.74050152,47071164.25941166,-82059784.05891779,-82059784.05891779,-3447477.2760917647,-3447477.2760917647,-3447477.2760917647,-3447477.2760917647,-3447477.2760917647,-3447477.2760917647,0.0,0.0,0.0,-85507261.33500956
2012-01-01,-75145506.09865384,-207881628.29683498,56601002.144277565,-75145506.09865384,-75145506.09865384,1389213.7138364108,1389213.7138364108,1389213.7138364108,1389213.7138364108,1389213.7138364108,1389213.7138364108,0.0,0.0,0.0,-73756292.38481742
2012-02-01,-68231228.13838989,-209982900.01051375,66331379.22632529,-68231228.13838989,-68231228.13838989,3091736.8286065655,3091736.8286065655,3091736.8286065655,3091736.8286065655,3091736.8286065655,3091736.8286065655,0.0,0.0,0.0,-65139491.30978332
2012-03-01,-61763032.62717523,-209853181.82729685,64383299.20573309,-61763032.62717523,-61763032.62717523,-15536134.576670168,-15536134.576670168,-15536134.576670168,-15536134.576670168,-15536134.576670168,-15536134.576670168,0.0,0.0,0.0,-77299167.2038454
2012-04-01,-54848754.666911244,-169031414.46171963,109144593.82020722,-54848754.666911244,-54848754.666911244,26447554.831285633,26447554.831285633,26447554.831285633,26447554.831285633,26447554.831285633,26447554.831285633,0.0,0.0,0.0,-28401199.83562561
2012-05-01,-48157517.931171946,-152021656.1396888,117380514.18833736,-48157517.931171946,-48157517.931171946,26851434.73479204,26851434.73479204,26851434.73479204,26851434.73479204,26851434.73479204,26851434.73479204,0.0,0.0,0.0,-21306083.196379907
2012-06-01,-41243239.97090798,-130958650.58683522,140974797.6063945,-41243239.97090798,-41243239.97090798,46685086.68107797,46685086.68107797,46685086.68107797,46685086.68107797,46685086.68107797,46685086.68107797,0.0,0.0,0.0,5441846.710169993
2012-07-01,-34552003.23516868,-143040283.65799588,131984975.47365417,-34552003.23516868,-34552003.23516868,20243802.6413639,20243802.6413639,20243802.6413639,20243802.6413639,20243802.6413639,20243802.6413639,0.0,0.0,0.0,-14308200.59380478
2012-08-01,-27637725.27490476,-171445349.93856817,106846747.0227546,-27637725.27490476,-27637725.27490476,-6153608.08824051,-6153608.08824051,-6153608.08824051,-6153608.08824051,-6153608.08824051,-6153608.08824051,0.0,0.0,0.0,-33791333.36314527
