ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,Volume,Volume_lower,Volume_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2001-01-01,211.81313854097422,53.59576201675625,77.62404532826294,211.81313854097422,211.81313854097422,-109.93067122389549,-109.93067122389549,-109.93067122389549,-90.32894317544441,-90.32894317544441,-90.32894317544441,58.35421739929549,58.35421739929549,58.35421739929549,0.511100818522924,0.511100818522924,0.511100818522924,-146.26579293575205,-146.26579293575205,-146.26579293575205,-141.39429618152147,-141.39429618152147,-141.39429618152147,-4.871496754230576,-4.871496754230576,-4.871496754230576,0.0,0.0,0.0,65.54734560522218
2001-02-01,211.86877058969452,59.86804100121099,83.63946618324809,211.86877058969452,211.86877058969452,-108.33695776605082,-108.33695776605082,-108.33695776605082,-88.60898858082797,-88.60898858082797,-88.60898858082797,58.270938287052246,58.270938287052246,58.270938287052246,0.5120657378692617,0.5120657378692617,0.5120657378692617,-140.27222433332867,-140.27222433332867,-140.27222433332867,-138.16294232195727,-138.16294232195727,-138.16294232195727,-2.1092820113713846,-2.1092820113713846,-2.1092820113713846,0.0,0.0,0.0,71.59654625636585
2001-03-01,211.9190188917645,66.59480725045455,90.49806433879293,211.9190188917645,211.9190188917645,-104.77789338218524,-104.77789338218524,-104.77789338218524,-88.50948743386047,-88.50948743386047,-88.50948743386047,57.288229513488425,57.288229513488425,57.288229513488425,0.5118551275351046,0.5118551275351046,0.5118551275351046,-133.96359611449057,-133.96359611449057,-133.96359611449057,-135.48729617502218,-135.48729617502218,-135.48729617502218,1.5237000605315965,1.5237000605315965,1.5237000605315965,0.0,0.0,0.0,77.95542277727392
2001-04-01,211.97465083170883,66.68755013582677,90.91309801449887,211.97465083170883,211.97465083170883,-99.79663507327946,-99.79663507327946,-99.79663507327946,-89.95225948729517,-89.95225948729517,-89.95225948729517,58.48330097634086,58.48330097634086,58.48330097634086,0.5099849077677907,0.5099849077677907,0.5099849077677907,-132.8650610486882,-132.8650610486882,-132.8650610486882,-130.75560867646598,-130.75560867646598,-130.75560867646598,-2.10945237222222,-2.10945237222222,-2.10945237222222,0.0,0.0,0.0,79.10958978302062
2001-05-01,212.02848819294536,78.94188407230986,101.56157729230941,212.02848819294536,212.02848819294536,-95.23703553763144,-95.23703553763144,-95.23703553763144,-77.96231705365217,-77.96231705365217,-77.96231705365217,52.145663321658645,52.145663321658645,52.145663321658645,0.5110444397565497,0.5110444397565497,0.5110444397565497,-121.61388808518069,-121.61388808518069,-121.61388808518069,-120.54264482986842,-120.54264482986842,-120.54264482986842,-1.071243255312271,-1.071243255312271,-1.071243255312271,0.0,0.0,0.0,90.41460010776467
2001-06-01,212.0841201270285,80.2676567782436,103.9019727169224,212.0841201270285,212.0841201270285,-92.44981723014745,-92.44981723014745,-92.44981723014745,-78.63040083106758,-78.63040083106758,-78.63040083106758,50.77570381695872,50.77570381695872,50.77570381695872,0.5090880317601806,0.5090880317601806,0.5090880317601806,-120.25477005662651,-120.25477005662651,-120.25477005662651,-119.79542621249612,-119.79542621249612,-119.79542621249612,-0.4593438441303981,-0.4593438441303981,-0.4593438441303981,0.0,0.0,0.0,91.829350070402
2001-07-01,212.13795748259287,77.90708323558064,100.83802398418177,212.13795748259287,212.13795748259287,-97.73123608458795,-97.73123608458795,-97.73123608458795,-79.69648919635301,-79.69648919635301,-79.69648919635301,52.0249095619743,52.0249095619743,52.0249095619743,0.5114514037253207,0.5114514037253207,0.5114514037253207,-123.51115669187715,-123.51115669187715,-123.51115669187715,-124.89136431524135,-124.89136431524135,-124.89136431524135,1.3802076233642055,1.3802076233642055,1.3802076233642055,0.0,0.0,0.0,88.62680079071572
2001-08-01,212.19358941748288,74.35310182197587,97.61221043839728,212.19358941748288,212.19358941748288,-98.51023039848447,-98.51023039848447,-98.51023039848447,-78.25371714291833,-78.25371714291833,-78.25371714291833,52.033236202440825,52.033236202440825,52.033236202440825,0.5122147851826652,0.5122147851826652,0.5122147851826652,-126.80029724286634,-126.80029724286634,-126.80029724286634,-124.2184965537793,-124.2184965537793,-124.2184965537793,-2.5818006890870366,-2.5818006890870366,-2.5818006890870366,0.0,0.0,0.0,85.39329217461655
2001-09-01,212.24922135237287,53.9228485521576,76.15526998348435,212.24922135237287,212.24922135237287,-99.4035692500814,-99.4035692500814,-99.4035692500814,-96.06449836378383,-96.06449836378383,-96.06449836378383,52.09153221639,52.09153221639,52.09153221639,0.5114040974041101,0.5114040974041101,0.5114040974041101,-147.57700882686612,-147.57700882686612,-147.57700882686612,-142.86513130007114,-142.86513130007114,-142.86513130007114,-4.711877526794989,-4.711877526794989,-4.711877526794989,0.0,0.0,0.0,64.67221252550675
2001-10-01,212.303058708718,58.88582563174243,82.40505249322796,212.303058708718,212.303058708718,-110.43094425229435,-110.43094425229435,-110.43094425229435,-92.92309261545347,-92.92309261545347,-92.92309261545347,60.544492361753285,60.544492361753285,60.544492361753285,0.5105078694282974,0.5105078694282974,0.5105078694282974,-141.00569435526037,-141.00569435526037,-141.00569435526037,-142.29903663656626,-142.29903663656626,-142.29903663656626,1.2933422813058535,1.2933422813058535,1.2933422813058535,0.0,0.0,0.0,71.29736435345762
