ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Adj Close,Adj Close_lower,Adj Close_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,Volume,Volume_lower,Volume_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2001-01-01,212.0390374977918,71.49791735565252,71.90086784385646,212.0390374977918,212.0390374977918,-140.36291241461274,-140.36291241461274,-140.36291241461274,0.02220854543803891,0.02220854543803891,0.02220854543803891,0.0002452492621688076,0.0002452492621688076,0.0002452492621688076,0.0013987749510168054,0.0013987749510168054,0.0013987749510168054,1.2147343169652696e-06,1.2147343169652696e-06,1.2147343169652696e-06,-140.33866450389996,-140.33866450389996,-140.33866450389996,-140.33905863022719,-140.33905863022719,-140.33905863022719,0.00039412632722050694,0.00039412632722050694,0.00039412632722050694,0.0,0.0,0.0,71.70037299389185
2001-02-01,212.03825229707363,73.9563864215918,74.36713504018354,212.03825229707363,212.03825229707363,-137.9024188981795,-137.9024188981795,-137.9024188981795,0.021886578353241704,0.021886578353241704,0.021886578353241704,0.0002405794677434013,0.0002405794677434013,0.0002405794677434013,0.0013967787159314868,0.0013967787159314868,0.0013967787159314868,1.217027642666621e-06,1.217027642666621e-06,1.217027642666621e-06,-137.8801873341482,-137.8801873341482,-137.8801873341482,-137.87889374461494,-137.87889374461494,-137.87889374461494,-0.0012935895332577153,-0.0012935895332577153,-0.0012935895332577153,0.0,0.0,0.0,74.15806496292544
2001-03-01,212.03754308352168,70.95733044179921,71.36694679505104,212.03754308352168,212.03754308352168,-140.89301607360946,-140.89301607360946,-140.89301607360946,0.02116756479491456,0.02116756479491456,0.02116756479491456,0.00024030931532025896,0.00024030931532025896,0.00024030931532025896,0.001373222776397593,0.001373222776397593,0.001373222776397593,1.2165270846727063e-06,1.2165270846727063e-06,1.2165270846727063e-06,-140.8714089763161,-140.8714089763161,-140.8714089763161,-140.87023376019576,-140.87023376019576,-140.87023376019576,-0.001175216120340484,-0.001175216120340484,-0.001175216120340484,0.0,0.0,0.0,71.16613410720558
2001-04-01,212.03675788280353,86.21537036423855,86.61762129013121,212.03675788280353,212.03675788280353,-125.64999478632592,-125.64999478632592,-125.64999478632592,0.020161235075826154,0.020161235075826154,0.020161235075826154,0.0002442265401780255,0.0002442265401780255,0.0002442265401780255,0.0014018691382444949,0.0014018691382444949,0.0014018691382444949,1.2120821296867433e-06,1.2120821296867433e-06,1.2120821296867433e-06,-125.62907980934249,-125.62907980934249,-125.62907980934249,-125.62818624348954,-125.62818624348954,-125.62818624348954,-0.0008935658529428528,-0.0008935658529428528,-0.0008935658529428528,0.0,0.0,0.0,86.40767807346104
2001-05-01,212.03784507386757,89.47566382200989,89.89673227854978,212.03784507386757,212.03784507386757,-122.35935045433821,-122.35935045433821,-122.35935045433821,0.019240090209345164,0.019240090209345164,0.019240090209345164,0.00021167302596734688,0.00021167302596734688,0.00021167302596734688,0.001249953318016266,0.001249953318016266,0.001249953318016266,1.2146003214407453e-06,1.2146003214407453e-06,1.2146003214407453e-06,-122.33914738679468,-122.33914738679468,-122.33914738679468,-122.33864752318456,-122.33864752318456,-122.33864752318456,-0.0004998636101204336,-0.0004998636101204336,-0.0004998636101204336,0.0,0.0,0.0,89.6986976870729
2001-06-01,212.0389685046338,86.51969038913731,86.91550476259144,212.0389685046338,212.0389685046338,-125.33993588334393,-125.33993588334393,-125.33993588334393,0.01867700746147928,0.01867700746147928,0.01867700746147928,0.00021348691914176206,0.00021348691914176206,0.00021348691914176206,0.0012171148167993032,0.0012171148167993032,0.0012171148167993032,1.2099505227218878e-06,1.2099505227218878e-06,1.2099505227218878e-06,-125.32147607067569,-125.32147607067569,-125.32147607067569,-125.31982706419599,-125.31982706419599,-125.31982706419599,-0.001649006479703552,-0.001649006479703552,-0.001649006479703552,0.0,0.0,0.0,86.71749243395811
2001-07-01,212.03823726133402,86.47631118032972,86.88775201347653,212.03823726133402,212.03823726133402,-125.37994471451975,-125.37994471451975,-125.37994471451975,0.019743976573013838,0.019743976573013838,0.019743976573013838,0.00021638142200874655,0.00021638142200874655,0.00021638142200874655,0.0012470587999880006,0.0012470587999880006,0.0012470587999880006,1.2155675535028326e-06,1.2155675535028326e-06,1.2155675535028326e-06,-125.36051748687365,-125.36051748687365,-125.36051748687365,-125.3587360821572,-125.3587360821572,-125.3587360821572,-0.0017814047164699466,-0.0017814047164699466,-0.0017814047164699466,0.0,0.0,0.0,86.67771977446037
2001-08-01,212.0374816432576,86.27061275313255,86.66475666018003,212.0374816432576,212.0374816432576,-125.58998535501442,-125.58998535501442,-125.58998535501442,0.019901351493257065,0.019901351493257065,0.019901351493257065,0.00021246419715098002,0.00021246419715098002,0.00021246419715098002,0.0012472583930359376,0.0012472583930359376,0.0012472583930359376,1.2173818837084681e-06,1.2173818837084681e-06,1.2173818837084681e-06,-125.5665315883535,-125.5665315883535,-125.5665315883535,-125.5686230635491,-125.5686230635491,-125.5686230635491,0.002091475195595557,0.002091475195595557,0.002091475195595557,0.0,0.0,0.0,86.4709500549041
2001-09-01,212.03672602518117,65.99092482137306,66.40468934638413,212.03672602518117,212.03672602518117,-145.86400079136328,-145.86400079136328,-145.86400079136328,0.020081826662346574,0.020081826662346574,0.020081826662346574,0.00026082168700429606,0.00026082168700429606,0.00026082168700429606,0.0012486557728259575,0.0012486557728259575,0.0012486557728259575,1.2154551204765074e-06,1.2154551204765074e-06,1.2154551204765074e-06,-145.84111684920214,-145.84111684920214,-145.84111684920214,-145.84240827178598,-145.84240827178598,-145.84240827178598,0.001291422583834956,0.001291422583834956,0.001291422583834956,0.0,0.0,0.0,66.19560917597903
2001-10-01,212.03614083492107,68.30761604292191,68.69278960707248,212.03614083492107,212.03614083492107,-143.56354259963317,-143.56354259963317,-143.56354259963317,0.022309612193648846,0.022309612193648846,0.022309612193648846,0.0002522925554229105,0.0002522925554229105,0.0002522925554229105,0.0014512767561967376,0.0014512767561967376,0.0014512767561967376,1.2133250536900945e-06,1.2133250536900945e-06,1.2133250536900945e-06,-143.53782962454608,-143.53782962454608,-143.53782962454608,-143.53952820480285,-143.53952820480285,-143.53952820480285,0.0016985802567767451,0.0016985802567767451,0.0016985802567767451,0.0,0.0,0.0,68.498311210375
2001-11-01,212.035536138319,78.92501445376872,79.31819701988007,212.035536138319,212.035536138319,-132.9214376958099,-132.9214376958099,-132.9214376958099,0.021187777925729945,0.021187777925729945,0.021187777925729945,0.0002445931819189485,0.0002445931819189485,0.0002445931819189485,0.0014278206512625558,0.0014278206512625558,0.0014278206512625558,1.2166441382343602e-06,1.2166441382343602e-06,1.2166441382343602e-06,-132.9008941769991,-132.9008941769991,-132.9008941769991,-132.89857628740685,-132.89857628740685,-132.89857628740685,-0.0023178895922432467,-0.0023178895922432467,-0.0023178895922432467,0.0,0.0,0.0,79.13464196131991
2001-12-01,212.0329538695732,83.19336133112829,83.58702438633033,212.0329538695732,212.0329538695732,-128.66059256189175,-128.66059256189175,-128.66059256189175,0.020629027507209942,0.020629027507209942,0.020629027507209942,0.00022736124092861268,0.00022736124092861268,0.00022736124092861268,0.0013233161377497638,0.0013233161377497638,0.0013233161377497638,1.2156876874213722e-06,1.2156876874213722e-06,1.2156876874213722e-06,-128.63969516706297,-128.63969516706297,-128.63969516706297,-128.63841164131819,-128.63841164131819,-128.63841164131819,-0.001283525744799423,-0.001283525744799423,-0.001283525744799423,0.0,0.0,0.0,83.39325870251022
2002-01-01,212.03028552520252,90.95843039435256,91.35303249450087,212.03028552520252,212.03028552520252,-120.89905482458684,-120.89905482458684,-120.89905482458684,0.019689112518162518,0.019689112518162518,0.019689112518162518,0.00022164942370442761,0.00022164942370442761,0.00022164942370442761,0.0012799971358046754,0.0012799971358046754,0.0012799971358046754,1.2166487587696886e-06,1.2166487587696886e-06,1.2166487587696886e-06,-120.87781925954768,-120.87781925954768,-120.87781925954768,-120.87786284886042,-120.87786284886042,-120.87786284886042,4.358931272425874e-05,4.358931272425874e-05,4.358931272425874e-05,0.0,0.0,0.0,91.15246626565484
2002-02-01,212.02761718083184,86.76603246467376,87.17883754134851,212.02761718083184,212.02761718083184,-125.07988229615344,-125.07988229615344,-125.07988229615344,0.0196761177331909,0.0196761177331909,0.0196761177331909,0.00021562885244110681,0.00021562885244110681,0.00021562885244110681,0.001204238894889985,0.001204238894889985,0.001204238894889985,1.2163068391553838e-06,1.2163068391553838e-06,1.2163068391553838e-06,-125.06044274764777,-125.06044274764777,-125.06044274764777,-125.05878509436607,-125.05878509436607,-125.05878509436607,-0.0016576532816956935,-0.0016576532816956935,-0.0016576532816956935,0.0,0.0,0.0,86.96717443318407
