Date,Price,Open,High,Low,Vol.,Change %
31-Dec-18,467.28,467.28,467.28,467.28,-,0.92%
28-Dec-18,467.28,463,463,463,-,-0.43%
27-Dec-18,463,465,465,465,-,1.31%
24-Dec-18,465,459,459,459,-,-1.92%
21-Dec-18,459,468,468,468,0.02K,0.43%
20-Dec-18,468,466,466,466,-,-0.85%
19-Dec-18,466,470,470,470,-,-0.74%
18-Dec-18,470,473.5,473.5,473.5,-,0.42%
17-Dec-18,473.5,471.5,471.5,471.5,-,-0.42%
14-Dec-18,471.5,473.5,473.5,473.5,-,-0.11%
13-Dec-18,473.5,474,474,474,-,0.00%
12-Dec-18,474,474,474,474,-,0.00%
11-Dec-18,474,474,474,474,-,0.00%
10-Dec-18,474,474,474,474,-,0.42%
7-Dec-18,474,472,472,472,-,0.32%
6-Dec-18,472,470.5,470.5,470.5,0.17K,-1.57%
5-Dec-18,470.5,478,478,478,0.02K,0.84%
4-Dec-18,478,474,474,474,0.02K,-5.10%
3-Dec-18,474,499.49,499.49,499.49,-,0.10%
30-Nov-18,499.49,499,499,499,-,0.00%
29-Nov-18,499,499,499,499,-,0.00%
28-Nov-18,499,499,499,499,-,0.40%
27-Nov-18,499,497,497,497,-,0.71%
26-Nov-18,497,493.5,493.5,493.5,-,0.00%
23-Nov-18,493.5,493.5,493.5,493.5,-,-1.10%
22-Nov-18,493.5,499,499,499,-,-0.99%
21-Nov-18,499,504,504,504,0.01K,-0.40%
20-Nov-18,504,506,506,506,0.05K,-0.39%
19-Nov-18,506,508,508,508,-,0.59%
16-Nov-18,508,505,505,505,-,-0.79%
15-Nov-18,505,509,509,509,-,0.59%
14-Nov-18,509,506,506,506,-,-0.78%
13-Nov-18,506,510,510,510,-,-0.68%
12-Nov-18,510,513.5,513.5,513.5,-,0.00%
9-Nov-18,513.5,513.5,513.5,513.5,-,0.00%
8-Nov-18,513.5,513.5,513.5,513.5,-,-0.10%
7-Nov-18,513.5,514,514,514,0.03K,-1.91%
6-Nov-18,514,524,524,524,0.01K,1.16%
5-Nov-18,524,518,518,518,0.04K,0.78%
2-Nov-18,518,514,514,514,-,3.01%
1-Nov-18,514,498.98,498.98,498.98,-,-0.20%
31-Oct-18,498.98,500,500,500,-,-1.19%
30-Oct-18,500,506,506,506,-,0.00%
29-Oct-18,506,506,506,506,-,-0.59%
26-Oct-18,506,509,509,509,-,-0.20%
25-Oct-18,509,510,510,510,-,0.79%
24-Oct-18,510,506,506,506,-,0.70%
23-Oct-18,506,502.5,502.5,502.5,-,0.50%
22-Oct-18,502.5,500,500,500,-,0.00%
19-Oct-18,500,500,500,500,-,-0.20%
18-Oct-18,500,501,501,501,-,-0.60%
17-Oct-18,501,504,504,504,-,0.00%
16-Oct-18,504,504,504,504,-,0.00%
15-Oct-18,504,504,504,504,0.03K,1.20%
12-Oct-18,504,498,498,498,-,0.00%
11-Oct-18,498,498,498,498,-,0.00%
10-Oct-18,498,498,498,498,-,0.20%
9-Oct-18,498,497,497,497,0.02K,-1.00%
8-Oct-18,497,502,502,502,0.03K,-0.20%
5-Oct-18,502,503,503,503,-,0.30%
4-Oct-18,503,501.5,501.5,501.5,-,0.30%
3-Oct-18,501.5,500,500,500,-,-0.99%
2-Oct-18,500,505,505,505,-,-0.83%
1-Oct-18,505,509.23,509.23,509.23,-,0.44%
28-Sep-18,509.23,507,507,507,-,-0.59%
27-Sep-18,507,510,510,510,-,0.20%
26-Sep-18,510,509,509,509,0.00K,0.20%
25-Sep-18,509,508,508,508,-,-0.20%
24-Sep-18,508,509,509,509,0.01K,-0.97%
21-Sep-18,509,514,514,514,0.01K,-0.39%
