"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","441.93","441.93","441.93","441.93","-","-0.02%"
"Dec 30, 2019","442.00","442.00","442.00","442.00","-","0.00%"
"Dec 27, 2019","442.00","442.00","442.00","442.00","-","-0.11%"
"Dec 24, 2019","442.50","442.50","442.50","442.50","-","0.00%"
"Dec 23, 2019","442.50","442.50","442.50","442.50","0.03K","-0.34%"
"Dec 20, 2019","444.00","444.00","444.00","444.00","-","0.00%"
"Dec 19, 2019","444.00","444.00","444.00","444.00","-","-0.45%"
"Dec 18, 2019","446.00","446.00","446.00","446.00","-","0.22%"
"Dec 17, 2019","445.00","445.00","445.00","445.00","-","-0.22%"
"Dec 16, 2019","446.00","446.00","446.00","446.00","-","-2.19%"
"Dec 13, 2019","456.00","456.00","456.00","456.00","0.00K","0.55%"
"Dec 12, 2019","453.50","453.50","453.50","453.50","0.04K","2.02%"
"Dec 11, 2019","444.50","444.50","444.50","444.50","0.00K","-0.22%"
"Dec 10, 2019","445.50","445.50","445.50","445.50","-","0.00%"
"Dec 09, 2019","445.50","445.50","445.50","445.50","-","0.56%"
"Dec 06, 2019","443.00","443.00","443.00","443.00","0.08K","2.07%"
"Dec 05, 2019","434.00","434.00","434.00","434.00","0.02K","-0.91%"
"Dec 04, 2019","438.00","438.00","438.00","438.00","0.05K","1.62%"
"Dec 03, 2019","431.00","431.00","431.00","431.00","0.02K","0.00%"
"Dec 02, 2019","431.00","431.00","431.00","431.00","-","3.25%"
"Nov 29, 2019","417.43","417.43","417.43","417.43","-","-0.14%"
"Nov 28, 2019","418.00","418.00","418.00","418.00","0.00K","0.00%"
"Nov 27, 2019","418.00","418.00","418.00","418.00","0.00K","-0.24%"
"Nov 26, 2019","419.00","419.00","419.00","419.00","0.02K","-0.24%"
"Nov 25, 2019","420.00","420.00","420.00","420.00","-","0.00%"
"Nov 22, 2019","420.00","420.00","420.00","420.00","-","0.00%"
"Nov 21, 2019","420.00","420.00","420.00","420.00","-","-0.36%"
"Nov 20, 2019","421.50","421.50","421.50","421.50","0.05K","0.12%"
"Nov 19, 2019","421.00","421.00","421.00","421.00","-","-0.47%"
"Nov 18, 2019","423.00","423.00","423.00","423.00","-","0.48%"
"Nov 15, 2019","421.00","421.00","421.00","421.00","-","-0.36%"
"Nov 14, 2019","422.50","422.50","422.50","422.50","0.02K","1.08%"
"Nov 13, 2019","418.00","418.00","418.00","418.00","-","0.24%"
"Nov 12, 2019","417.00","417.00","417.00","417.00","-","-0.48%"
"Nov 11, 2019","419.00","419.00","419.00","419.00","-","-1.06%"
"Nov 08, 2019","423.50","423.50","423.50","423.50","0.03K","0.12%"
"Nov 07, 2019","423.00","423.00","423.00","423.00","0.05K","1.20%"
"Nov 06, 2019","418.00","418.00","418.00","418.00","-","-0.36%"
"Nov 05, 2019","419.50","419.50","419.50","419.50","0.05K","0.96%"
"Nov 04, 2019","415.50","415.50","415.50","415.50","0.12K","-0.12%"
"Nov 01, 2019","416.00","416.00","416.00","416.00","-","2.69%"
"Oct 31, 2019","405.10","405.10","405.10","405.10","-","-0.10%"
"Oct 30, 2019","405.50","405.50","405.50","405.50","-","-0.12%"
"Oct 29, 2019","406.00","406.00","406.00","406.00","-","0.00%"
"Oct 28, 2019","406.00","406.00","406.00","406.00","-","-0.37%"
"Oct 25, 2019","407.50","407.50","407.50","407.50","-","0.62%"
"Oct 24, 2019","405.00","405.00","405.00","405.00","-","0.00%"
"Oct 23, 2019","405.00","405.00","405.00","405.00","-","0.00%"
"Oct 22, 2019","405.00","405.00","405.00","405.00","-","0.00%"
"Oct 21, 2019","405.00","405.00","405.00","405.00","-","0.00%"
"Oct 18, 2019","405.00","405.00","405.00","405.00","-","0.25%"
"Oct 17, 2019","404.00","404.00","404.00","404.00","-","0.00%"
"Oct 16, 2019","404.00","404.00","404.00","404.00","-","0.25%"
"Oct 15, 2019","403.00","403.00","403.00","403.00","-","-0.49%"
"Oct 14, 2019","405.00","405.00","405.00","405.00","-","-0.49%"
"Oct 11, 2019","407.00","407.00","407.00","407.00","0.00K","0.12%"
"Oct 10, 2019","406.50","406.50","406.50","406.50","-","0.37%"
"Oct 09, 2019","405.00","405.00","405.00","405.00","-","-0.49%"
"Oct 08, 2019","407.00","407.00","407.00","407.00","-","-0.97%"
