Date,Price,Open,High,Low,Vol.,Change %
31-Dec-19,102.06,102.06,102.36,101.88,35.65M,-0.02%
30-Dec-19,102.08,101.77,102.3,101.77,50.84M,0.30%
27-Dec-19,101.77,101.52,101.77,101.29,24.31M,0.27%
26-Dec-19,101.5,101.36,101.59,101.22,25.58M,0.13%
25-Dec-19,101.37,101.5,101.72,101.32,28.14M,-0.23%
24-Dec-19,101.6,101.76,101.77,101.19,41.66M,-0.06%
23-Dec-19,101.66,100.71,101.66,100.66,50.23M,0.97%
20-Dec-19,100.68,101.01,101.28,100.47,56.00M,-0.34%
19-Dec-19,101.02,101.32,101.51,100.89,28.19M,-0.59%
18-Dec-19,101.62,100.9,101.62,100.69,44.77M,0.59%
17-Dec-19,101.02,100.14,101.02,100.07,39.53M,0.85%
16-Dec-19,100.17,100.36,100.75,100.17,42.14M,-0.19%
13-Dec-19,100.36,99.43,100.38,99.43,44.45M,0.94%
12-Dec-19,99.43,99.44,99.84,99.37,31.98M,-0.01%
11-Dec-19,99.44,99.36,99.5,99.06,23.02M,0.06%
10-Dec-19,99.38,99.5,99.5,99.03,24.68M,-0.12%
9-Dec-19,99.5,99.58,99.66,99.24,20.01M,-0.07%
6-Dec-19,99.57,99.62,99.75,99.25,25.76M,-0.05%
5-Dec-19,99.62,100.05,100.05,99.42,18.51M,-0.42%
4-Dec-19,100.04,99.9,100.04,99.37,24.47M,0.14%
3-Dec-19,99.9,99.1,99.9,99.02,28.61M,0.81%
2-Dec-19,99.1,99.34,99.56,98.76,23.06M,-0.24%
29-Nov-19,99.34,100.13,100.15,99.31,20.89M,-1.05%
28-Nov-19,100.39,100.38,100.41,99.88,21.44M,0.01%
27-Nov-19,100.38,100.24,100.5,100.06,22.67M,0.14%
26-Nov-19,100.24,99.57,100.41,99.57,68.56M,0.66%
25-Nov-19,99.58,99.36,99.69,99.16,26.11M,0.22%
22-Nov-19,99.36,99.22,99.36,98.83,15.53M,0.14%
21-Nov-19,99.22,99.69,99.69,98.75,24.02M,-0.47%
20-Nov-19,99.69,99.52,99.69,99.01,22.28M,0.16%
19-Nov-19,99.53,99.26,99.53,98.7,16.99M,0.26%
18-Nov-19,99.27,98.52,99.27,98.52,19.23M,0.76%
15-Nov-19,98.52,98.56,99.38,98.52,26.58M,-0.04%
14-Nov-19,98.56,99.26,99.26,98.46,29.58M,-0.84%
13-Nov-19,99.39,101.02,101.02,99.39,29.54M,-1.61%
12-Nov-19,101.02,101.07,101.12,100.62,19.93M,-0.05%
11-Nov-19,101.07,101.54,101.54,100.52,25.24M,-0.46%
8-Nov-19,101.54,101.31,101.78,101.24,23.27M,0.25%
7-Nov-19,101.29,101.02,101.37,100.83,21.56M,0.27%
6-Nov-19,101.02,101.61,101.65,100.88,36.86M,-0.53%
5-Nov-19,101.56,100.18,101.74,100.17,65.02M,1.12%
4-Nov-19,100.44,100.18,100.44,100.03,28.83M,0.14%
1-Nov-19,100.3,100.05,100.36,99.83,21.07M,0.25%
31-Oct-19,100.05,100.27,100.39,99.96,24.83M,-0.09%
30-Oct-19,100.14,99.91,100.22,99.54,29.36M,0.17%
29-Oct-19,99.97,100.09,100.47,99.6,32.36M,0.02%
28-Oct-19,99.95,100.17,100.18,99.77,16.22M,-0.23%
25-Oct-19,100.18,100.55,100.55,99.81,19.71M,-0.37%
24-Oct-19,100.55,100.17,100.55,99.9,21.83M,0.38%
23-Oct-19,100.17,100.2,100.24,99.59,30.13M,-0.03%
22-Oct-19,100.2,100.04,100.28,99.85,26.39M,0.17%
21-Oct-19,100.03,99.8,100.07,99.62,29.56M,0.23%
18-Oct-19,99.8,99.89,100.01,99.48,39.00M,-0.09%
17-Oct-19,99.89,99.74,100.03,99.47,27.07M,0.15%
16-Oct-19,99.74,99.53,99.85,99.3,29.54M,0.08%
15-Oct-19,99.66,99.5,99.66,99.12,25.61M,-0.10%
14-Oct-19,99.76,99.42,99.76,99.2,35.33M,1.02%
9-Oct-19,98.75,99.31,99.39,98.75,28.50M,-0.69%
8-Oct-19,99.44,98.97,99.74,98.97,26.67M,0.47%
7-Oct-19,98.97,98.6,99.08,98.57,24.17M,0.38%
4-Oct-19,98.6,98.69,99.15,98.49,25.60M,-0.08%
3-Oct-19,98.68,99.01,99.01,98.62,29.23M,-0.46%
2-Oct-19,99.14,99.25,99.55,99.08,25.44M,-0.27%
1-Oct-19,99.41,100.16,100.16,99.1,42.43M,0.02%
30-Sep-19,99.39,100.05,100.2,99.38,36.07M,0.00%
27-Sep-19,99.39,100.05,100.2,99.38,36.07M,-0.67%
26-Sep-19,100.06,100.36,100.67,99.89,31.88M,-0.27%
25-Sep-19,100.33,101.02,101.11,100.2,38.25M,-0.94%
24-Sep-19,101.28,101.19,101.37,100.89,28.79M,0.09%
23-Sep-19,101.19,101.45,101.76,101.18,27.55M,-0.89%
20-Sep-19,102.1,101.46,102.1,101.33,54.89M,0.50%
19-Sep-19,101.59,101.8,102.03,101.31,22.60M,-0.21%
18-Sep-19,101.8,101.42,102.19,101.42,33.39M,0.25%
17-Sep-19,101.55,102.59,102.71,101.54,31.25M,-1.14%
16-Sep-19,102.72,102.38,103.02,102.28,40.05M,0.46%
12-Sep-19,102.25,102.38,102.73,102.23,27.37M,-0.04%
11-Sep-19,102.29,101.96,102.45,101.89,31.38M,0.45%
10-Sep-19,101.83,101.28,101.9,101.26,31.19M,0.54%
9-Sep-19,101.28,101.31,101.5,101.12,21.94M,-0.03%
6-Sep-19,101.31,101.25,101.46,101.01,28.49M,0.06%
5-Sep-19,101.25,101.05,101.47,101.01,34.07M,0.21%
4-Sep-19,101.04,100.92,101.51,100.77,42.36M,0.12%
3-Sep-19,100.92,101.08,101.37,100.91,43.22M,-0.16%
2-Sep-19,101.08,100.56,101.08,100.45,38.01M,0.52%
30-Aug-19,100.56,100.09,100.58,100.09,28.89M,0.61%
29-Aug-19,99.95,100.07,100.22,99.64,29.92M,-0.38%
28-Aug-19,100.33,99.67,100.33,99.47,32.82M,0.66%
27-Aug-19,99.67,100.08,100.37,99.67,55.47M,-0.44%
26-Aug-19,100.11,100.22,100.39,99.64,35.19M,-0.50%
23-Aug-19,100.61,100.91,100.92,100.22,36.74M,-0.29%
22-Aug-19,100.9,101.03,101.09,100.51,33.73M,-0.13%
21-Aug-19,101.03,100.99,101.2,100.84,26.43M,0.04%
20-Aug-19,100.99,101.18,101.48,100.84,29.54M,-0.19%
