c_date,c_price,c_open,c_high,c_low
2021-11-18,398.97000,351.83000,367.35000,351.83000
2021-11-17,393.73000,360.55000,360.55000,345.98000
2021-11-16,403.57000,355.78000,364.39000,352.83000
2021-11-15,401.60000,356.81000,363.13000,352.67000
2021-11-12,409.24000,357.64000,359.28000,344.77000
2021-11-11,411.94000,362.71000,368.27000,357.31000
2021-11-10,400.72000,373.31000,378.46000,360.06000
2021-11-09,410.89000,375.81000,376.44000,364.42000
2021-11-08,419.76000,364.88000,376.08000,364.88000
2021-11-05,406.38000,361.62000,371.37000,359.53000
2021-11-04,403.26000,356.19000,369.07000,356.19000
2021-11-03,399.58000,352.12000,364.38000,352.12000
2021-11-02,391.00000,353.91000,356.52000,341.46000
2021-11-01,396.52000,375.61000,375.61000,346.02000
2021-10-29,404.35000,390.17000,390.17000,375.27000
2021-10-28,396.04000,393.26000,393.26000,386.16000
2021-10-27,393.50000,384.93000,395.36000,384.93000
2021-10-26,407.69000,392.23000,392.61000,380.15000
2021-10-25,405.21000,402.89000,405.65000,384.47000
2021-10-22,382.33000,401.76000,412.78000,400.02000
2021-10-21,373.98000,400.26000,404.80000,397.21000
2021-10-20,383.15000,407.16000,407.16000,397.47000
2021-10-19,375.45000,406.55000,412.18000,405.22000
2021-10-18,374.07000,410.33000,412.96000,405.76000
2021-10-15,372.56000,411.47000,414.59000,408.59000
2021-10-14,371.30000,413.39000,414.81000,401.15000
2021-10-13,368.17000,427.71000,427.71000,412.47000
2021-10-12,368.31000,426.91000,434.81000,424.93000
2021-10-11,364.43000,418.40000,430.58000,418.40000
2021-10-08,357.95000,425.55000,429.70000,418.27000
2021-10-07,360.81000,433.50000,436.60000,424.86000
2021-10-06,351.33000,430.31000,439.65000,430.31000
2021-10-05,362.77000,414.70000,426.72000,414.70000
2021-10-04,355.45000,414.37000,419.72000,409.15000
2021-10-01,355.80000,424.32000,424.32000,408.70000
2021-09-30,357.35000,422.85000,433.69000,417.14000
2021-09-29,361.67000,436.80000,437.25000,415.86000
2021-09-28,372.10000,442.77000,442.77000,424.22000
2021-09-27,375.81000,441.86000,453.23000,441.24000
2021-09-24,364.45000,437.65000,446.26000,428.40000
2021-09-23,362.95000,422.91000,437.75000,422.91000
2021-09-22,355.13000,394.00000,424.38000,394.00000
2021-09-21,351.29000,383.42000,394.47000,379.60000
2021-09-20,353.23000,376.27000,386.22000,376.27000
2021-09-17,377.94000,383.89000,386.83000,374.53000
2021-09-16,391.19000,392.45000,392.45000,383.89000
2021-09-15,394.94000,379.88000,393.12000,377.04000
2021-09-14,381.20000,388.89000,394.05000,378.74000
2021-09-13,392.13000,387.12000,392.18000,383.34000
2021-09-10,400.46000,373.40000,390.44000,373.40000
2021-09-09,401.43000,369.61000,373.70000,361.08000
2021-09-08,400.44000,366.67000,371.36000,358.31000
2021-09-07,407.34000,357.32000,368.93000,357.32000
2021-09-03,406.58000,356.41000,359.57000,351.24000
2021-09-02,410.06000,356.94000,358.19000,348.50000
2021-09-01,411.47000,351.29000,359.28000,351.29000
2021-08-31,415.29000,340.45000,351.39000,335.41000
2021-08-30,427.77000,348.77000,348.77000,335.84000
2021-08-27,426.70000,362.43000,362.95000,350.36000
2021-08-26,418.40000,360.27000,367.77000,358.49000
2021-08-25,425.33000,363.24000,368.11000,357.93000
2021-08-24,433.50000,369.58000,369.58000,359.91000
2021-08-23,422.58000,365.63000,371.46000,358.94000
2021-08-20,412.07000,361.27000,367.99000,360.06000
2021-08-19,414.37000,361.95000,361.95000,347.85000
2021-08-18,424.89000,352.09000,363.85000,351.88000
2021-08-17,423.15000,363.44000,364.29000,347.54000
2021-08-16,438.29000,365.11000,366.32000,361.01000
2021-08-13,445.96000,362.90000,366.60000,359.38000
2021-08-12,444.07000,355.49000,360.71000,354.19000
2021-08-11,437.70000,356.56000,361.49000,355.05000
2021-08-10,422.31000,365.03000,365.73000,354.71000
2021-08-09,393.41000,367.89000,370.16000,363.78000
2021-08-06,383.42000,361.07000,371.85000,359.64000
2021-08-05,374.83000,360.67000,369.75000,360.08000
2021-08-04,383.89000,361.52000,363.06000,356.58000
2021-08-03,392.80000,352.62000,362.70000,352.62000
2021-08-02,379.48000,357.75000,360.24000,350.45000
2021-07-30,387.34000,377.54000,378.45000,354.42000
2021-07-29,387.33000,383.24000,383.24000,370.97000
2021-07-28,371.49000,386.52000,387.13000,375.52000
2021-07-27,368.88000,400.32000,400.32000,385.19000
2021-07-26,368.06000,401.24000,405.37000,396.96000
2021-07-23,356.76000,401.40000,407.77000,397.34000
2021-07-22,355.19000,409.56000,409.56000,401.29000
2021-07-21,354.29000,400.31000,410.86000,395.64000
2021-07-20,349.70000,402.75000,404.40000,391.87000
2021-07-19,342.73000,398.90000,403.88000,398.08000
2021-07-16,351.41000,391.65000,398.48000,384.54000
2021-07-15,362.20000,407.15000,407.15000,389.00000
2021-07-14,360.27000,390.38000,407.54000,390.38000
2021-07-13,360.93000,381.13000,386.53000,377.00000
2021-07-12,369.58000,380.90000,389.88000,380.90000
2021-07-09,366.07000,375.39000,379.83000,373.49000
2021-07-08,354.90000,386.47000,388.20000,375.17000
2021-07-07,361.95000,381.82000,388.46000,379.64000
2021-07-06,350.55000,380.95000,387.93000,379.36000
2021-07-02,363.81000,382.39000,382.68000,373.96000
2021-07-01,364.74000,379.57000,383.91000,368.35000
2021-06-30,360.35000,397.87000,401.87000,388.42000
2021-06-29,355.48000,388.23000,398.32000,386.25000
2021-06-28,356.56000,384.51000,389.67000,381.05000
