c_date,c_price,c_open,c_high,c_low
2021-11-14,398.97000,414.70000,439.65000,414.70000
2021-11-07,409.24000,442.77000,442.77000,408.70000
2021-10-31,406.38000,383.42000,453.23000,379.60000
2021-10-24,404.35000,388.89000,394.05000,374.53000
2021-10-17,382.33000,357.32000,392.18000,357.32000
2021-10-10,372.56000,348.77000,359.57000,335.41000
2021-10-03,357.95000,365.63000,371.46000,350.36000
2021-09-26,355.80000,363.44000,367.99000,347.54000
2021-09-19,364.45000,365.03000,366.60000,354.19000
2021-09-12,377.94000,352.62000,371.85000,352.62000
2021-09-05,400.46000,400.32000,400.32000,350.45000
2021-08-29,406.58000,402.75000,410.86000,391.87000
2021-08-22,426.70000,390.38000,407.54000,384.54000
2021-08-15,412.07000,381.82000,389.88000,373.49000
2021-08-08,445.96000,388.23000,401.87000,368.35000
2021-08-01,383.42000,385.74000,399.05000,366.31000
2021-07-25,387.34000,329.05000,385.48000,329.05000
2021-07-18,356.76000,315.15000,335.01000,315.15000
2021-07-11,351.41000,318.44000,321.50000,305.41000
2021-07-04,366.07000,318.21000,321.27000,310.79000
2021-06-27,363.81000,319.27000,326.82000,310.31000
2021-06-20,364.03000,318.74000,328.39000,308.78000
2021-06-13,351.13000,292.12000,317.72000,274.92000
2021-06-06,400.32000,294.40000,299.47000,282.04000
2021-05-30,402.75000,269.92000,295.99000,269.92000
2021-05-23,385.25000,251.63000,271.15000,251.63000
2021-05-16,381.82000,245.39000,266.93000,244.95000
2021-05-09,388.23000,237.71000,246.92000,235.92000
2021-05-02,383.66000,226.22000,236.63000,226.22000
2021-04-25,328.66000,208.43000,229.17000,207.17000
2021-04-18,315.15000,233.04000,233.77000,205.35000
2021-04-11,317.76000,235.77000,239.75000,227.10000
2021-04-04,318.41000,238.32000,248.72000,230.65000
2021-03-28,318.83000,224.43000,246.69000,220.43000
2021-03-21,317.58000,219.92000,224.12000,218.39000
2021-03-14,292.12000,221.99000,225.21000,217.88000
2021-03-07,293.90000,234.84000,236.63000,221.96000
2021-02-28,269.67000,231.79000,236.64000,228.56000
2021-02-21,251.63000,227.93000,233.82000,221.90000
2021-02-14,245.39000,221.53000,233.96000,220.16000
2021-02-07,236.51000,220.08000,228.10000,218.56000
2021-01-31,226.22000,211.36000,221.21000,206.30000
2021-01-24,208.43000,203.81000,208.36000,195.42000
2021-01-17,232.24000,206.23000,206.23000,192.70000
2021-01-10,234.71000,209.45000,212.81000,200.72000
2021-01-03,238.77000,206.83000,211.08000,203.66000
2020-12-27,223.09000,194.52000,210.93000,194.52000
2020-12-20,219.82000,192.27000,196.31000,185.80000
2020-12-13,222.36000,200.35000,200.35000,184.42000
2020-12-06,233.17000,191.88000,207.75000,191.05000
2020-11-29,232.47000,195.35000,195.35000,188.24000
2020-11-22,228.82000,196.46000,201.23000,190.20000
2020-11-15,219.15000,191.50000,196.16000,190.90000
2020-11-08,216.62000,198.69000,200.41000,188.92000
2020-11-01,202.92000,190.78000,201.66000,190.78000
2020-10-25,200.52000,181.06000,190.24000,179.59000
2020-10-18,208.36000,184.54000,188.15000,177.54000
2020-10-11,208.79000,176.56000,189.04000,174.90000
2020-10-04,206.94000,175.91000,182.46000,170.74000
2020-09-27,193.34000,180.39000,181.37000,164.81000
2020-09-20,188.93000,173.26000,180.95000,171.94000
2020-09-13,203.74000,181.43000,186.04000,170.35000
2020-09-06,190.60000,171.34000,192.28000,169.96000
2020-08-30,197.58000,196.38000,199.23000,169.71000
2020-08-23,195.53000,176.99000,200.97000,175.65000
2020-08-16,189.70000,167.55000,184.12000,167.55000
2020-08-09,197.77000,163.08000,171.05000,161.63000
2020-08-02,189.77000,170.35000,170.35000,144.74000
2020-07-26,179.50000,162.26000,172.51000,160.75000
2020-07-19,184.85000,156.41000,177.17000,156.00000
2020-07-12,178.00000,153.87000,159.51000,144.94000
2020-07-05,173.94000,164.25000,166.17000,144.61000
2020-06-28,176.61000,152.84000,170.30000,152.68000
2020-06-21,171.98000,142.14000,157.77000,137.65000
2020-06-14,181.83000,128.71000,148.12000,121.01000
2020-06-07,176.68000,150.54000,150.88000,118.62000
2020-05-31,195.92000,173.22000,173.22000,138.62000
2020-05-24,176.55000,189.23000,198.83000,176.78000
2020-05-17,164.53000,211.60000,211.79000,182.04000
2020-05-10,155.24000,211.33000,216.05000,210.00000
2020-05-03,172.36000,213.12000,220.39000,211.17000
2020-04-26,164.64000,211.75000,222.82000,211.38000
2020-04-19,155.29000,217.13000,223.48000,210.69000
2020-04-12,156.83000,233.20000,233.20000,217.92000
2020-04-05,164.86000,231.97000,236.53000,231.08000
2020-03-29,145.27000,235.41000,238.60000,230.20000
2020-03-22,142.33000,243.51000,244.65000,235.26000
2020-03-15,128.19000,244.66000,246.85000,242.29000
2020-03-08,154.44000,248.37000,248.80000,242.86000
2020-03-01,179.41000,252.34000,254.65000,246.35000
2020-02-23,187.61000,245.00000,252.08000,238.51000
2020-02-16,214.96000,240.24000,246.47000,238.83000
2020-02-09,212.11000,235.85000,241.19000,233.89000
2020-02-02,214.22000,238.08000,242.59000,233.98000
2020-01-26,210.95000,240.02000,242.32000,236.06000
2020-01-19,220.25000,229.86000,239.96000,226.80000
2020-01-12,233.83000,220.06000,230.18000,213.85000
2020-01-05,230.71000,218.78000,224.19000,213.94000
2019-12-29,236.32000,212.16000,223.77000,204.54000
2019-12-22,243.93000,213.00000,223.50000,204.78000
2019-12-15,244.95000,217.22000,223.56000,210.15000
2019-12-08,246.95000,225.56000,231.08000,219.73000
2019-12-01,250.71000,211.30000,233.23000,211.14000
2019-11-24,243.86000,203.05000,214.20000,200.31000
2019-11-17,239.12000,200.19000,208.36000,194.26000
2019-11-10,236.60000,208.22000,210.80000,198.02000
2019-11-03,240.38000,210.75000,214.73000,197.46000
2019-10-27,237.39000,215.47000,218.99000,209.68000
2019-10-20,228.63000,234.75000,235.85000,215.99000
2019-10-13,216.08000,233.99000,235.94000,228.83000
2019-10-06,222.15000,227.29000,234.24000,224.33000
2019-09-29,212.58000,228.06000,229.72000,219.17000
2019-09-22,213.53000,231.30000,232.40000,225.00000
2019-09-15,220.87000,221.80000,230.06000,219.06000
2019-09-08,229.51000,209.99000,227.83000,205.77000
2019-09-01,209.68000,208.78000,213.77000,207.27000
2019-08-25,205.86000,194.92000,207.84000,194.82000
2019-08-18,198.68000,207.70000,208.07000,193.66000
2019-08-11,204.01000,217.32000,222.00000,206.09000
2019-08-04,211.69000,228.51000,228.51000,217.28000
2019-07-28,219.16000,235.35000,237.03000,226.82000
2019-07-21,235.42000,231.58000,240.11000,226.66000
2019-07-14,232.69000,237.33000,239.35000,231.82000
2019-07-07,225.93000,240.15000,245.50000,236.65000
2019-06-30,229.25000,252.15000,252.27000,237.63000
2019-06-23,229.28000,245.43000,253.74000,244.45000
2019-06-16,222.24000,234.36000,244.03000,232.10000
2019-06-09,210.51000,241.47000,246.12000,233.62000
