c_date,c_price,c_open,c_high,c_low
2021-10-20,714.50000,667.50000,667.50000,667.50000
2021-10-19,714.50000,668.50000,668.50000,668.50000
2021-10-18,711.50000,671.50000,671.50000,671.50000
2021-10-15,711.50000,671.50000,671.50000,671.50000
2021-10-14,714.00000,668.00000,668.00000,668.00000
2021-10-13,714.00000,671.50000,671.50000,671.50000
2021-10-12,707.00000,688.07000,688.07000,688.07000
2021-10-11,712.00000,687.50000,687.50000,687.50000
2021-10-08,700.00000,688.00000,688.00000,688.00000
2021-10-07,700.00000,690.00000,690.00000,690.00000
2021-10-06,691.50000,690.00000,690.00000,690.00000
2021-10-05,700.00000,690.00000,690.00000,690.00000
2021-10-04,690.50000,692.50000,692.50000,692.50000
2021-10-01,681.00000,692.50000,692.50000,692.50000
2021-09-30,665.32000,692.50000,692.50000,692.50000
2021-09-29,665.00000,692.50000,692.50000,692.50000
2021-09-28,665.00000,692.50000,692.50000,692.50000
2021-09-27,670.00000,696.50000,696.50000,696.50000
2021-09-24,668.00000,696.50000,696.50000,696.50000
2021-09-23,667.00000,696.50000,696.50000,696.50000
2021-09-22,674.00000,694.50000,694.50000,694.50000
2021-09-21,667.50000,698.00000,698.00000,698.00000
2021-09-20,661.00000,694.50000,694.50000,694.50000
2021-09-17,669.00000,706.00000,706.00000,706.00000
2021-09-16,660.00000,710.00000,710.00000,710.00000
2021-09-15,660.00000,708.50000,708.50000,708.50000
2021-09-14,664.00000,719.00000,719.00000,719.00000
2021-09-13,679.00000,720.57000,720.57000,720.57000
2021-09-10,685.00000,723.00000,723.00000,723.00000
2021-09-09,676.50000,722.50000,722.50000,722.50000
2021-09-08,667.50000,724.00000,724.00000,724.00000
2021-09-07,668.50000,724.00000,724.00000,724.00000
2021-09-06,671.50000,726.50000,726.50000,726.50000
2021-09-03,671.50000,731.50000,731.50000,731.50000
2021-09-02,668.00000,729.00000,729.00000,729.00000
2021-09-01,671.50000,725.00000,725.00000,725.00000
2021-08-31,688.07000,726.00000,726.00000,726.00000
2021-08-27,687.50000,724.00000,724.00000,724.00000
2021-08-26,688.00000,727.00000,727.00000,727.00000
2021-08-25,690.00000,727.00000,727.00000,727.00000
2021-08-24,690.00000,727.00000,727.00000,727.00000
2021-08-23,690.00000,753.00000,753.00000,753.00000
2021-08-20,692.50000,736.50000,736.50000,736.50000
2021-08-19,692.50000,740.00000,740.00000,740.00000
2021-08-18,692.50000,745.00000,745.00000,745.00000
2021-08-17,692.50000,742.00000,742.00000,742.00000
2021-08-16,692.50000,741.50000,741.50000,741.50000
2021-08-13,696.50000,736.00000,736.00000,736.00000
2021-08-12,696.50000,737.50000,737.50000,737.50000
2021-08-11,696.50000,726.48000,726.48000,726.48000
2021-08-10,694.50000,730.00000,730.00000,730.00000
2021-08-09,698.00000,735.00000,735.00000,735.00000
2021-08-06,694.50000,738.00000,738.00000,738.00000
2021-08-05,706.00000,725.00000,725.00000,725.00000
2021-08-04,710.00000,725.00000,725.00000,725.00000
2021-08-03,708.50000,725.00000,725.00000,725.00000
2021-08-02,719.00000,725.00000,725.00000,725.00000
2021-07-30,720.57000,725.00000,725.00000,725.00000
2021-07-29,723.00000,725.00000,725.00000,725.00000
2021-07-28,722.50000,725.00000,725.00000,725.00000
2021-07-27,724.00000,720.00000,720.00000,720.00000
2021-07-26,724.00000,715.00000,715.00000,715.00000
2021-07-23,726.50000,715.00000,715.00000,715.00000
2021-07-22,731.50000,715.00000,715.00000,715.00000
2021-07-21,729.00000,715.00000,715.00000,715.00000
2021-07-20,725.00000,715.00000,715.00000,715.00000
2021-07-19,726.00000,715.00000,715.00000,715.00000
2021-07-16,724.00000,755.00000,755.00000,755.00000
2021-07-15,727.00000,755.00000,755.00000,755.00000
2021-07-14,727.00000,755.00000,755.00000,755.00000
2021-07-13,727.00000,755.00000,755.00000,755.00000
2021-07-12,753.00000,744.21000,744.21000,744.21000
2021-07-09,736.50000,744.00000,744.00000,744.00000
2021-07-08,740.00000,746.00000,746.00000,746.00000
2021-07-07,745.00000,745.00000,745.00000,745.00000
2021-07-06,742.00000,748.50000,748.50000,748.50000
2021-07-05,741.50000,742.00000,742.00000,742.00000
2021-07-02,736.00000,752.00000,752.00000,752.00000
2021-07-01,737.50000,756.00000,756.00000,756.00000
2021-06-30,726.48000,771.50000,771.50000,771.50000
2021-06-29,730.00000,769.50000,769.50000,769.50000
2021-06-28,735.00000,775.00000,775.00000,775.00000
2021-06-25,738.00000,780.50000,780.50000,780.50000
2021-06-24,725.00000,794.00000,794.00000,794.00000
2021-06-23,725.00000,750.00000,750.00000,750.00000
2021-06-22,725.00000,750.00000,750.00000,750.00000
2021-06-21,725.00000,710.00000,710.00000,710.00000
