c_date,c_price,c_open,c_high,c_low
2021-10-31,711.50000,453.50000,453.50000,453.50000
2021-09-30,665.32000,459.00000,459.00000,459.00000
2021-08-31,688.07000,453.50000,453.50000,453.50000
2021-07-31,720.57000,418.00000,418.00000,418.00000
2021-06-30,726.48000,425.50000,425.50000,425.50000
2021-05-31,744.21000,399.00000,399.00000,399.00000
2021-04-30,639.28000,372.50000,372.50000,372.50000
2021-03-31,628.22000,425.00000,425.00000,425.00000
2021-02-28,605.43000,428.21000,428.21000,428.21000
2021-01-31,629.60000,436.06000,436.06000,436.06000
2020-12-31,593.52000,441.93000,441.93000,441.93000
2020-11-30,486.26000,417.43000,417.43000,417.43000
2020-10-31,445.48000,405.10000,405.10000,405.10000
2020-09-30,454.98000,412.73000,412.73000,412.73000
2020-08-31,440.05000,448.55000,448.55000,448.55000
2020-07-31,419.00000,460.65000,460.65000,460.65000
2020-06-30,415.95000,467.53000,467.53000,467.53000
2020-05-31,398.76000,470.14000,470.14000,470.14000
2020-04-30,402.93000,480.18000,480.18000,480.18000
2020-03-31,415.00000,481.64000,481.64000,481.64000
2020-02-29,428.21000,471.13000,471.13000,471.13000
2020-01-31,436.06000,445.73000,445.73000,445.73000
2019-12-31,441.93000,467.28000,467.28000,467.28000
2019-11-30,417.43000,499.49000,499.49000,499.49000
2019-10-31,405.10000,498.98000,498.98000,498.98000
2019-09-30,412.73000,509.23000,509.23000,509.23000
2019-08-31,448.55000,520.95000,520.95000,520.95000
2019-07-31,460.65000,542.48000,542.48000,542.48000
2019-06-30,467.53000,548.17000,548.17000,548.17000
2019-05-31,470.14000,551.31000,551.31000,551.31000
2019-04-30,480.18000,555.28000,555.28000,555.28000
2019-03-31,481.64000,584.17000,584.17000,584.17000
2019-02-28,471.13000,567.48000,567.48000,567.48000
2019-01-31,445.73000,564.80000,564.80000,564.80000
2018-12-31,467.28000,559.00000,559.00000,559.00000
2018-11-30,499.49000,555.00000,555.00000,555.00000
2018-10-31,498.98000,526.00000,526.00000,526.00000
2018-09-30,509.23000,530.00000,530.00000,530.00000
2018-08-31,520.95000,542.00000,542.00000,542.00000
2018-07-31,542.48000,504.00000,504.00000,504.00000
2018-06-30,548.17000,427.07000,427.07000,427.07000
2018-05-31,551.31000,430.33000,430.33000,430.33000
2018-04-30,555.28000,423.81000,423.81000,423.81000
2018-03-31,584.17000,436.30000,436.30000,436.30000
2018-02-28,567.48000,413.50000,413.50000,413.50000
2018-01-31,564.80000,419.45000,419.45000,419.45000
2017-12-31,559.00000,428.25000,428.25000,428.25000
2017-11-30,555.00000,424.32000,424.32000,424.32000
2017-10-31,526.00000,375.60000,375.60000,375.60000
2017-09-30,530.00000,370.00000,370.00000,370.00000
2017-08-31,542.00000,381.68000,381.68000,381.68000
2017-07-31,504.00000,379.69000,379.69000,379.69000
2017-06-30,427.07000,398.59000,398.59000,398.59000
2017-05-31,430.33000,475.57000,475.57000,475.57000
2017-04-30,423.81000,454.00000,454.00000,454.00000
2017-03-31,436.30000,363.00000,363.00000,363.00000
2017-02-28,413.50000,318.81000,318.81000,318.81000
2017-01-31,419.45000,323.18000,323.18000,323.18000
2016-12-31,428.25000,326.38000,326.38000,326.38000
