c_date,c_price,c_open,c_high,c_low
2021-10-17,727.50000,724.00000,724.00000,724.00000
2021-10-10,711.50000,726.00000,726.00000,726.00000
2021-10-03,700.00000,753.00000,753.00000,753.00000
2021-09-26,681.00000,741.50000,741.50000,741.50000
2021-09-19,668.00000,735.00000,735.00000,735.00000
2021-09-12,669.00000,725.00000,725.00000,725.00000
2021-09-05,685.00000,715.00000,715.00000,715.00000
2021-08-29,671.50000,715.00000,715.00000,715.00000
2021-08-22,687.50000,755.00000,755.00000,755.00000
2021-08-15,692.50000,748.50000,748.50000,748.50000
2021-08-08,696.50000,769.50000,769.50000,769.50000
2021-08-01,694.50000,750.00000,750.00000,750.00000
2021-07-25,720.57000,730.00000,730.00000,730.00000
2021-07-18,726.50000,639.50000,639.50000,639.50000
2021-07-11,724.00000,637.50000,637.50000,637.50000
2021-07-04,736.50000,636.00000,636.00000,636.00000
2021-06-27,736.00000,650.00000,650.00000,650.00000
2021-06-20,738.00000,633.00000,633.00000,633.00000
2021-06-13,725.00000,622.00000,622.00000,622.00000
2021-06-06,715.00000,634.00000,634.00000,634.00000
2021-05-30,755.00000,641.00000,641.00000,641.00000
2021-05-23,744.21000,656.50000,656.50000,656.50000
2021-05-16,742.00000,602.50000,602.50000,602.50000
2021-05-09,775.00000,614.00000,614.00000,614.00000
2021-05-02,710.00000,600.00000,600.00000,600.00000
2021-04-25,639.28000,563.00000,563.00000,563.00000
2021-04-18,637.50000,635.00000,635.00000,635.00000
2021-04-11,641.00000,640.00000,640.00000,640.00000
2021-04-04,639.50000,646.50000,646.50000,646.50000
2021-03-28,643.00000,656.00000,656.00000,656.00000
2021-03-21,631.00000,592.00000,592.00000,592.00000
2021-03-14,624.50000,600.00000,600.00000,600.00000
2021-03-07,629.00000,570.00000,570.00000,570.00000
2021-02-28,643.50000,562.00000,562.00000,562.00000
2021-02-21,605.43000,486.26000,486.26000,486.26000
2021-02-14,604.00000,489.00000,489.00000,489.00000
2021-02-07,607.00000,486.00000,486.00000,486.00000
2021-01-31,597.50000,470.00000,470.00000,470.00000
2021-01-24,629.60000,461.00000,461.00000,461.00000
2021-01-17,632.00000,447.00000,447.00000,447.00000
2021-01-10,638.00000,447.00000,447.00000,447.00000
2021-01-03,660.00000,447.50000,447.50000,447.50000
2020-12-27,593.52000,449.50000,449.50000,449.50000
2020-12-20,596.00000,460.00000,460.00000,460.00000
2020-12-13,597.50000,452.50000,452.50000,452.50000
2020-12-06,575.50000,458.50000,458.50000,458.50000
2020-11-29,558.00000,463.50000,463.50000,463.50000
2020-11-22,488.50000,459.00000,459.00000,459.00000
2020-11-15,491.50000,440.50000,440.50000,440.50000
2020-11-08,482.00000,444.50000,444.50000,444.50000
2020-11-01,463.00000,448.00000,448.00000,448.00000
2020-10-25,445.48000,453.50000,453.50000,453.50000
2020-10-18,448.50000,425.50000,425.50000,425.50000
2020-10-11,447.50000,423.50000,423.50000,423.50000
2020-10-04,448.50000,411.50000,411.50000,411.50000
2020-09-27,446.00000,415.00000,415.00000,415.00000
2020-09-20,459.00000,416.00000,416.00000,416.00000
2020-09-13,459.50000,417.00000,417.00000,417.00000
2020-09-06,461.00000,425.50000,425.50000,425.50000
2020-08-30,460.00000,422.50000,422.50000,422.50000
2020-08-23,440.05000,425.50000,425.50000,425.50000
2020-08-16,440.00000,399.00000,399.00000,399.00000
2020-08-09,447.50000,403.50000,403.50000,403.50000
2020-08-02,451.00000,404.00000,404.00000,404.00000
2020-07-26,419.00000,399.50000,399.50000,399.50000
2020-07-19,426.00000,405.50000,405.50000,405.50000
2020-07-12,420.00000,408.00000,408.00000,408.00000
2020-07-05,411.50000,412.00000,412.00000,412.00000
2020-06-28,414.50000,393.00000,393.00000,393.00000
2020-06-21,416.50000,416.00000,416.00000,416.00000
2020-06-14,418.00000,424.00000,424.00000,424.00000
2020-06-07,422.00000,425.00000,425.00000,425.00000
2020-05-31,420.00000,429.00000,429.00000,429.00000
2020-05-24,398.76000,430.00000,430.00000,430.00000
2020-05-17,398.50000,428.21000,428.21000,428.21000
2020-05-10,404.00000,426.00000,426.00000,426.00000
2020-05-03,405.50000,425.00000,425.00000,425.00000
2020-04-26,399.00000,422.00000,422.00000,422.00000
2020-04-19,403.00000,436.06000,436.06000,436.06000
2020-04-12,409.00000,436.00000,436.00000,436.00000
2020-04-05,393.00000,439.00000,439.00000,439.00000
2020-03-29,378.00000,444.50000,444.50000,444.50000
2020-03-22,416.00000,449.00000,449.00000,449.00000
2020-03-15,424.00000,442.00000,442.00000,442.00000
2020-03-08,429.00000,444.00000,444.00000,444.00000
2020-03-01,430.00000,456.00000,456.00000,456.00000
2020-02-23,428.21000,443.00000,443.00000,443.00000
2020-02-16,426.00000,417.43000,417.43000,417.43000
2020-02-09,425.00000,420.00000,420.00000,420.00000
2020-02-02,422.00000,421.00000,421.00000,421.00000
2020-01-26,436.06000,423.50000,423.50000,423.50000
2020-01-19,436.00000,416.00000,416.00000,416.00000
2020-01-12,439.00000,407.50000,407.50000,407.50000
2020-01-05,444.50000,405.00000,405.00000,405.00000
2019-12-29,449.00000,407.00000,407.00000,407.00000
2019-12-22,442.00000,404.00000,404.00000,404.00000
2019-12-15,444.00000,412.00000,412.00000,412.00000
2019-12-08,456.00000,412.00000,412.00000,412.00000
2019-12-01,443.00000,417.00000,417.00000,417.00000
2019-11-24,417.43000,415.50000,415.50000,415.50000
2019-11-17,420.00000,448.55000,448.55000,448.55000
2019-11-10,421.00000,447.00000,447.00000,447.00000
2019-11-03,423.50000,452.00000,452.00000,452.00000
2019-10-27,416.00000,452.00000,452.00000,452.00000
2019-10-20,407.50000,460.00000,460.00000,460.00000
2019-10-13,405.00000,461.00000,461.00000,461.00000
2019-10-06,407.00000,464.00000,464.00000,464.00000
2019-09-29,404.00000,468.00000,468.00000,468.00000
2019-09-22,412.00000,472.00000,472.00000,472.00000
2019-09-15,412.00000,467.53000,467.53000,467.53000
2019-09-08,417.00000,469.00000,469.00000,469.00000
2019-09-01,415.50000,472.00000,472.00000,472.00000
2019-08-25,448.55000,472.00000,472.00000,472.00000
2019-08-18,447.00000,470.14000,470.14000,470.14000
2019-08-11,452.00000,471.50000,471.50000,471.50000
2019-08-04,452.00000,469.50000,469.50000,469.50000
2019-07-28,460.00000,466.00000,466.00000,466.00000
2019-07-21,461.00000,471.00000,471.00000,471.00000
2019-07-14,464.00000,473.50000,473.50000,473.50000
2019-07-07,468.00000,476.00000,476.00000,476.00000
2019-06-30,472.00000,480.00000,480.00000,480.00000
2019-06-23,467.53000,483.00000,483.00000,483.00000
2019-06-16,469.00000,481.64000,481.64000,481.64000
2019-06-09,472.00000,480.00000,480.00000,480.00000
2019-06-02,472.00000,476.00000,476.00000,476.00000
2019-05-26,470.14000,478.00000,478.00000,478.00000
2019-05-19,471.50000,477.00000,477.00000,477.00000
2019-05-12,469.50000,479.50000,479.50000,479.50000
2019-05-05,466.00000,478.00000,478.00000,478.00000
2019-04-28,471.00000,480.50000,480.50000,480.50000
2019-04-21,473.50000,480.00000,480.00000,480.00000
2019-04-14,476.00000,447.00000,447.00000,447.00000
2019-04-07,480.00000,446.00000,446.00000,446.00000
2019-03-31,483.00000,450.00000,450.00000,450.00000
2019-03-24,481.64000,445.50000,445.50000,445.50000
2019-03-17,480.00000,467.28000,467.28000,467.28000
2019-03-10,476.00000,459.00000,459.00000,459.00000
2019-03-03,478.00000,471.50000,471.50000,471.50000
2019-02-24,477.00000,474.00000,474.00000,474.00000
2019-02-17,479.50000,499.49000,499.49000,499.49000
2019-02-10,478.00000,493.50000,493.50000,493.50000
2019-02-03,480.50000,508.00000,508.00000,508.00000
2019-01-27,480.00000,513.50000,513.50000,513.50000
2019-01-20,447.00000,518.00000,518.00000,518.00000
