c_date,c_price,c_open,c_high,c_low
2021-11-17,162.53000,166.77000,171.06000,165.03000
2021-11-16,163.08000,173.22000,173.87000,167.36000
2021-11-15,165.39000,176.00000,176.09000,171.69000
2021-11-12,168.38000,172.45000,177.36000,172.45000
2021-11-11,169.38000,172.01000,174.26000,170.90000
2021-11-10,166.66000,174.98000,175.15000,173.23000
2021-11-09,168.54000,175.51000,177.58000,174.74000
2021-11-08,168.44000,175.72000,176.60000,175.06000
2021-11-05,161.02000,176.59000,177.84000,173.58000
2021-11-04,162.00000,178.35000,178.35000,174.72000
2021-11-03,163.00000,185.26000,187.03000,182.65000
2021-11-02,160.43000,188.99000,189.66000,185.25000
2021-11-01,161.91000,189.26000,189.45000,186.27000
2021-10-29,163.23000,193.38000,194.02000,188.90000
2021-10-28,163.79000,188.79000,194.39000,188.79000
2021-10-27,163.98000,186.11000,190.58000,186.11000
2021-10-26,163.99000,181.41000,185.84000,181.37000
2021-10-25,162.52000,185.79000,188.66000,181.25000
2021-10-22,161.35000,187.85000,189.06000,184.30000
2021-10-21,166.26000,184.80000,189.10000,184.24000
2021-10-20,163.44000,183.89000,187.32000,183.09000
2021-10-19,163.91000,187.55000,187.99000,182.64000
2021-10-18,164.20000,188.88000,191.61000,187.14000
2021-10-15,163.31000,185.69000,189.31000,184.54000
2021-10-14,161.36000,184.72000,187.26000,183.39000
2021-10-13,159.48000,182.88000,184.68000,180.75000
2021-10-12,162.45000,178.92000,189.18000,178.80000
2021-10-08,163.61000,178.54000,179.17000,176.53000
2021-10-07,167.94000,177.16000,178.96000,174.11000
2021-10-06,168.21000,174.77000,179.22000,174.77000
2021-10-05,171.06000,174.28000,175.92000,170.57000
2021-10-04,167.45000,180.52000,180.52000,173.78000
2021-10-01,172.57000,175.48000,182.87000,172.91000
2021-09-30,177.06000,186.87000,187.91000,176.25000
2021-09-29,171.73000,189.82000,191.78000,183.90000
2021-09-28,173.62000,190.46000,191.26000,187.97000
2021-09-27,175.14000,186.84000,191.68000,185.99000
2021-09-24,175.11000,187.46000,191.68000,183.46000
2021-09-23,174.85000,188.15000,189.36000,185.59000
2021-09-22,174.94000,183.86000,190.86000,183.86000
2021-09-17,183.23000,183.66000,186.08000,181.36000
2021-09-16,185.40000,188.47000,188.47000,183.60000
2021-09-15,188.67000,190.72000,191.83000,188.13000
2021-09-14,190.40000,191.40000,191.95000,188.81000
2021-09-13,193.51000,189.45000,192.52000,188.57000
2021-09-10,188.53000,189.98000,193.05000,187.65000
2021-09-09,185.78000,184.09000,189.36000,182.84000
2021-09-08,181.86000,183.29000,187.70000,180.27000
2021-09-07,185.88000,187.55000,188.41000,182.76000
2021-09-06,187.09000,190.95000,191.54000,186.89000
2021-09-03,183.73000,186.24000,191.25000,185.28000
2021-09-02,182.64000,189.94000,190.70000,183.99000
2021-09-01,187.17000,195.33000,198.24000,186.94000
2021-08-31,188.70000,196.30000,199.10000,190.45000
2021-08-30,185.61000,191.58000,199.07000,191.58000
