c_date,c_price,c_open,c_high,c_low
2021-10-31,164.20000,92.69000,96.18000,92.69000
2021-09-30,177.06000,90.75000,97.10000,90.54000
2021-08-31,188.70000,87.39000,91.28000,86.78000
2021-07-31,187.65000,90.36000,92.10000,86.62000
2021-06-30,205.41000,87.86000,93.62000,87.86000
2021-05-31,177.23000,86.68000,89.12000,85.85000
2021-04-30,185.25000,82.55000,88.43000,81.57000
2021-03-31,123.40000,97.37000,99.28000,78.31000
2021-02-28,117.84000,98.05000,99.87000,96.80000
2021-01-31,105.10000,102.33000,102.77000,97.72000
2020-12-31,117.72000,99.34000,102.36000,98.76000
2020-11-30,106.70000,100.05000,101.78000,98.46000
2020-10-31,93.77000,100.16000,100.55000,98.49000
2020-09-30,92.69000,100.56000,103.02000,99.38000
2020-08-31,90.77000,105.40000,105.40000,99.47000
2020-07-31,87.42000,108.34000,108.88000,105.43000
2020-06-30,90.34000,106.33000,109.34000,105.68000
2020-05-31,87.82000,108.38000,108.86000,105.05000
2020-04-30,88.11000,109.96000,110.16000,108.05000
2020-03-31,82.55000,109.55000,110.27000,107.73000
2020-02-29,98.02000,108.98000,109.85000,107.99000
2020-01-31,98.33000,104.55000,108.91000,103.36000
2019-12-31,102.06000,105.16000,106.43000,102.82000
2019-11-30,99.34000,104.67000,107.73000,103.32000
2019-10-31,100.05000,114.86000,115.20000,102.65000
2019-09-30,99.39000,110.42000,115.69000,107.26000
2019-08-31,100.56000,108.36000,111.71000,107.01000
2019-07-31,105.53000,104.38000,108.36000,102.45000
2019-06-30,108.72000,103.61000,107.71000,103.45000
2019-05-31,106.59000,105.50000,106.33000,102.31000
2019-04-30,108.38000,105.24000,107.75000,103.84000
2019-03-31,110.06000,105.33000,107.65000,101.74000
2019-02-28,109.82000,106.49000,107.12000,100.05000
2019-01-31,108.84000,103.94000,109.20000,103.93000
2018-12-31,104.72000,101.01000,103.85000,99.92000
2018-11-30,104.64000,101.71000,103.48000,100.15000
2018-10-31,105.75000,100.42000,102.66000,100.17000
2018-09-30,115.01000,103.71000,104.39000,99.61000
2018-08-31,110.43000,101.44000,105.17000,100.53000
2018-07-31,108.36000,101.27000,104.79000,99.95000
2018-06-30,105.07000,99.89000,101.99000,98.18000
2018-05-31,103.62000,98.97000,100.00000,95.69000
2018-04-30,105.27000,103.09000,104.75000,96.76000
2018-03-31,104.89000,105.87000,106.89000,102.17000
2018-02-28,105.49000,102.01000,107.71000,101.54000
2018-01-31,106.49000,98.20000,101.42000,96.90000
2017-12-31,103.85000,100.09000,102.61000,96.21000
2017-11-30,100.98000,90.80000,102.15000,89.31000
2017-10-31,101.71000,88.42000,91.75000,85.59000
2017-09-30,100.42000,87.59000,90.22000,85.53000
2017-08-31,104.10000,87.10000,91.58000,87.01000
2017-07-31,101.30000,83.16000,90.15000,82.57000
2017-06-30,100.98000,81.26000,85.00000,80.89000
2017-05-31,99.91000,89.15000,89.62000,78.53000
2017-04-30,98.30000,86.46000,92.14000,81.61000
2017-03-31,103.09000,82.35000,90.86000,82.06000
2017-02-28,105.33000,72.46000,82.99000,72.38000
2017-01-31,101.14000,73.25000,73.28000,69.80000
2016-12-31,98.06000,72.84000,74.50000,68.68000
2016-11-30,100.09000,78.46000,81.67000,70.69000
2016-10-31,91.20000,75.75000,83.83000,75.44000
2016-09-30,88.15000,75.58000,79.20000,74.23000
2016-08-31,87.60000,85.80000,85.80000,68.55000
2016-07-31,87.24000,93.33000,93.98000,84.62000
2016-06-30,83.30000,97.07000,97.32000,91.46000
2016-05-31,81.52000,100.28000,100.46000,97.07000
2016-04-30,89.02000,100.41000,101.33000,98.68000
2016-03-31,87.10000,100.62000,101.03000,97.98000
2016-02-29,82.35000,102.10000,102.15000,100.28000
2016-01-31,72.32000,101.14000,102.47000,99.98000
2015-12-31,73.13000,98.06000,102.44000,97.47000
2015-11-30,72.97000,99.81000,99.90000,96.95000
2015-10-31,78.45000,101.20000,101.20000,96.83000
2015-09-30,75.88000,102.82000,104.24000,99.24000
2015-08-31,75.84000,100.37000,103.95000,99.23000
2015-07-31,86.06000,97.84000,101.83000,96.67000
2015-06-30,93.71000,96.97000,99.85000,96.39000
2015-05-31,97.07000,99.10000,100.50000,96.58000
2015-04-30,100.28000,99.82000,101.52000,97.55000
2015-03-31,100.42000,98.81000,100.47000,97.66000
2015-02-28,100.62000,98.87000,100.48000,96.93000
2015-01-31,102.10000,103.12000,103.19000,99.90000
2014-12-31,101.15000,98.05000,103.75000,97.06000
2014-11-30,99.11000,99.16000,99.32000,95.81000
2014-10-31,99.81000,99.24000,100.48000,98.61000
2014-09-30,101.38000,97.44000,100.55000,97.31000
2014-08-31,102.81000,96.38000,98.84000,94.93000
2014-07-31,100.84000,93.22000,99.21000,90.19000
2014-06-30,98.26000,97.68000,97.68000,89.54000
2014-05-31,96.58000,97.28000,99.58000,96.01000
2014-04-30,99.13000,97.58000,98.29000,94.85000
2014-03-31,100.17000,102.14000,102.86000,96.63000
2014-02-28,99.07000,103.08000,103.80000,101.11000
2014-01-31,99.92000,101.78000,105.54000,99.65000
2013-12-31,103.07000,97.31000,101.52000,94.86000
2013-11-30,98.06000,91.75000,97.20000,90.76000
2013-10-31,98.86000,98.43000,98.55000,91.67000
2013-09-30,99.37000,93.23000,98.94000,88.91000
2013-08-31,97.35000,95.22000,96.75000,92.99000
2013-07-31,95.87000,99.43000,99.98000,91.22000
2013-06-30,94.02000,99.17000,101.42000,97.29000
2013-05-31,98.15000,103.13000,104.00000,98.11000
2013-04-30,97.24000,106.69000,106.97000,102.05000
2013-03-31,97.59000,110.20000,111.72000,105.37000
2013-02-28,101.17000,103.63000,110.58000,102.96000
2013-01-31,103.06000,101.05000,103.76000,99.97000
2012-12-31,101.18000,102.66000,102.94000,97.33000
2012-11-30,97.20000,106.05000,106.69000,96.14000
2012-10-31,92.03000,105.48000,107.82000,103.80000
2012-09-30,98.79000,112.61000,112.69000,104.66000
2012-08-31,93.31000,112.27000,113.90000,100.30000
2012-07-31,95.57000,119.20000,121.33000,108.31000
2012-06-30,99.50000,118.53000,119.31000,116.03000
2012-05-31,99.83000,122.82000,122.82000,116.83000
2012-04-30,102.94000,122.49000,124.31000,119.48000
2012-03-31,107.69000,118.22000,123.59000,116.28000
2012-02-29,110.08000,122.58000,125.65000,117.24000
2012-01-31,103.57000,119.80000,122.88000,117.10000
