c_date,c_price,c_open,c_high,c_low
2021-11-14,162.53000,174.77000,189.18000,174.11000
2021-11-07,168.38000,189.82000,191.78000,170.57000
2021-10-31,161.02000,183.86000,191.68000,183.46000
2021-10-24,163.23000,189.45000,192.52000,181.36000
2021-10-17,161.35000,190.95000,193.05000,180.27000
2021-10-10,163.31000,191.58000,199.10000,183.99000
2021-10-03,163.61000,205.12000,208.83000,183.34000
2021-09-26,172.57000,207.81000,214.40000,195.85000
2021-09-19,175.11000,181.19000,214.52000,181.19000
2021-09-12,183.23000,171.91000,185.56000,167.48000
2021-09-05,188.53000,173.90000,179.02000,171.68000
2021-08-29,183.73000,183.26000,184.25000,168.18000
2021-08-22,183.71000,177.70000,189.79000,173.88000
2021-08-15,172.90000,164.99000,176.34000,158.67000
2021-08-08,188.67000,152.34000,175.05000,145.45000
2021-08-01,183.56000,193.52000,216.71000,156.80000
2021-07-25,187.65000,187.90000,194.98000,165.14000
2021-07-18,190.07000,177.80000,188.17000,177.57000
2021-07-11,192.48000,168.43000,193.39000,168.43000
2021-07-04,199.47000,138.98000,165.40000,138.98000
2021-06-27,203.76000,123.96000,139.51000,123.96000
2021-06-20,179.35000,119.72000,124.17000,119.72000
2021-06-13,172.46000,119.01000,119.99000,118.06000
2021-06-06,173.94000,122.19000,122.31000,118.51000
2021-05-30,182.21000,118.57000,122.98000,118.57000
2021-05-23,173.73000,117.86000,121.89000,116.67000
2021-05-16,168.01000,114.20000,120.97000,114.20000
2021-05-09,160.81000,107.28000,114.16000,107.28000
2021-05-02,192.06000,107.22000,107.22000,107.22000
2021-04-25,185.25000,105.07000,109.04000,104.96000
2021-04-18,175.80000,108.89000,111.57000,105.10000
2021-04-11,163.27000,113.68000,113.68000,106.35000
2021-04-04,136.14000,120.66000,120.85000,113.54000
2021-03-28,123.69000,117.99000,124.87000,117.87000
2021-03-21,119.66000,116.15000,120.12000,115.33000
2021-03-14,118.99000,114.59000,123.10000,114.26000
2021-03-07,122.13000,111.72000,116.25000,111.11000
2021-02-28,118.47000,108.48000,112.81000,107.76000
2021-02-21,117.84000,106.89000,108.93000,106.27000
2021-02-14,114.11000,100.12000,106.87000,100.12000
2021-02-07,107.22000,98.82000,100.68000,98.54000
2021-01-31,107.22000,96.01000,99.48000,96.01000
2021-01-24,105.10000,93.75000,96.18000,93.45000
2021-01-17,108.89000,94.25000,96.18000,93.51000
