id,c_name,c_date,c_price,c_open,c_high,c_low
1,道瓊鋼鐵指數,2021-10-31,405.21000,357.64000,407.28000,344.77000
2,道瓊鋼鐵指數,2021-09-30,357.35000,413.39000,414.81000,341.46000
3,道瓊鋼鐵指數,2021-08-31,415.29000,388.89000,453.23000,374.53000
4,道瓊鋼鐵指數,2021-07-31,387.34000,362.90000,392.18000,335.41000
5,道瓊鋼鐵指數,2021-06-30,360.35000,390.38000,410.86000,350.45000
6,道瓊鋼鐵指數,2021-05-31,385.25000,329.05000,401.87000,329.05000
7,道瓊鋼鐵指數,2021-04-30,328.66000,317.67000,335.01000,305.41000
8,道瓊鋼鐵指數,2021-03-31,317.93000,251.63000,328.39000,251.63000
9,道瓊鋼鐵指數,2021-02-28,251.63000,208.43000,266.93000,207.17000
10,道瓊鋼鐵指數,2021-01-31,208.43000,224.43000,248.72000,205.35000
11,道瓊鋼鐵指數,2020-12-31,223.09000,225.82000,236.64000,217.88000
12,道瓊鋼鐵指數,2020-11-30,221.90000,203.81000,233.96000,195.42000
13,道瓊鋼鐵指數,2020-10-31,200.52000,187.97000,212.81000,185.80000
14,道瓊鋼鐵指數,2020-09-30,187.42000,191.79000,207.75000,184.42000
15,道瓊鋼鐵指數,2020-08-31,192.04000,181.06000,201.66000,179.59000
16,道瓊鋼鐵指數,2020-07-31,179.50000,178.37000,189.04000,164.81000
17,道瓊鋼鐵指數,2020-06-30,177.91000,176.99000,200.97000,169.71000
18,道瓊鋼鐵指數,2020-05-31,176.55000,162.61000,184.12000,144.74000
19,道瓊鋼鐵指數,2020-04-30,166.24000,146.80000,177.17000,143.78000
20,道瓊鋼鐵指數,2020-03-31,153.26000,189.23000,198.83000,118.62000
21,道瓊鋼鐵指數,2020-02-29,187.61000,211.75000,222.82000,182.04000
22,道瓊鋼鐵指數,2020-01-31,210.95000,244.25000,244.65000,210.69000
23,道瓊鋼鐵指數,2019-12-31,242.13000,245.00000,254.65000,238.51000
24,鋼筋價格指數,2021-10-31,711.50000,681.00000,681.00000,681.00000
25,鋼筋價格指數,2021-09-30,665.32000,671.50000,671.50000,671.50000
26,鋼筋價格指數,2021-08-31,688.07000,719.00000,719.00000,719.00000
27,鋼筋價格指數,2021-07-31,720.57000,737.50000,737.50000,737.50000
28,鋼筋價格指數,2021-06-30,726.48000,755.00000,755.00000,755.00000
29,鋼筋價格指數,2021-05-31,744.21000,730.00000,730.00000,730.00000
30,鋼筋價格指數,2021-04-30,639.28000,643.00000,643.00000,643.00000
31,鋼筋價格指數,2021-03-31,628.22000,656.50000,656.50000,656.50000
32,鋼筋價格指數,2021-02-28,605.43000,563.00000,563.00000,563.00000
33,鋼筋價格指數,2021-01-31,629.60000,656.00000,656.00000,656.00000
34,鋼筋價格指數,2020-12-31,593.52000,554.50000,554.50000,554.50000
35,鋼筋價格指數,2020-11-30,486.26000,461.00000,461.00000,461.00000
36,鋼筋價格指數,2020-10-31,445.48000,453.50000,453.50000,453.50000
37,鋼筋價格指數,2020-09-30,454.98000,459.00000,459.00000,459.00000
38,鋼筋價格指數,2020-08-31,440.05000,453.50000,453.50000,453.50000
39,鋼筋價格指數,2020-07-31,419.00000,418.00000,418.00000,418.00000
40,鋼筋價格指數,2020-06-30,415.95000,425.50000,425.50000,425.50000
41,鋼筋價格指數,2020-05-31,398.76000,399.00000,399.00000,399.00000
42,鋼筋價格指數,2020-04-30,402.93000,372.50000,372.50000,372.50000
43,鋼筋價格指數,2020-03-31,415.00000,425.00000,425.00000,425.00000
44,鋼筋價格指數,2020-02-29,428.21000,428.21000,428.21000,428.21000
45,鋼筋價格指數,2020-01-31,436.06000,436.06000,436.06000,436.06000
46,鋼筋價格指數,2019-12-31,441.93000,441.93000,441.93000,441.93000
47,鋼筋價格指數,2019-11-30,417.43000,417.43000,417.43000,417.43000
48,鋼筋價格指數,2019-10-31,405.10000,405.10000,405.10000,405.10000
49,鋼筋價格指數,2019-09-30,412.73000,412.73000,412.73000,412.73000
50,鋼筋價格指數,2019-08-31,448.55000,448.55000,448.55000,448.55000
51,鋼筋價格指數,2019-07-31,460.65000,460.65000,460.65000,460.65000
52,鋼筋價格指數,2019-06-30,467.53000,467.53000,467.53000,467.53000
53,鋼筋價格指數,2019-05-31,470.14000,470.14000,470.14000,470.14000
54,鋼筋價格指數,2019-04-30,480.18000,480.18000,480.18000,480.18000
55,鋼筋價格指數,2019-03-31,481.64000,481.64000,481.64000,481.64000
56,鋼筋價格指數,2019-02-28,471.13000,471.13000,471.13000,471.13000
57,鋼筋價格指數,2019-01-31,445.73000,445.73000,445.73000,445.73000
58,鋼筋價格指數,2018-12-31,467.28000,467.28000,467.28000,467.28000
59,鋼筋價格指數,2018-11-30,499.49000,499.49000,499.49000,499.49000
60,鋼筋價格指數,2018-10-31,498.98000,498.98000,498.98000,498.98000
61,鋼筋價格指數,2018-09-30,509.23000,509.23000,509.23000,509.23000
62,鋼筋價格指數,2018-08-31,520.95000,520.95000,520.95000,520.95000
63,鋼筋價格指數,2018-07-31,542.48000,542.48000,542.48000,542.48000
64,鋼筋價格指數,2018-06-30,548.17000,548.17000,548.17000,548.17000
65,鋼筋價格指數,2018-05-31,551.31000,551.31000,551.31000,551.31000
66,鋼筋價格指數,2018-04-30,555.28000,555.28000,555.28000,555.28000
67,鋼筋價格指數,2018-03-31,584.17000,584.17000,584.17000,584.17000
68,鋼筋價格指數,2018-02-28,567.48000,567.48000,567.48000,567.48000
69,鋼筋價格指數,2018-01-31,564.80000,564.80000,564.80000,564.80000
70,鋼筋價格指數,2017-12-31,559.00000,559.00000,559.00000,559.00000
71,鋼筋價格指數,2017-11-30,555.00000,555.00000,555.00000,555.00000
72,鋼筋價格指數,2017-10-31,526.00000,526.00000,526.00000,526.00000
73,鋼筋價格指數,2017-09-30,530.00000,530.00000,530.00000,530.00000
74,鋼筋價格指數,2017-08-31,542.00000,542.00000,542.00000,542.00000
75,鋼筋價格指數,2017-07-31,504.00000,504.00000,504.00000,504.00000
76,鋼筋價格指數,2017-06-30,427.07000,427.07000,427.07000,427.07000
77,鋼筋價格指數,2017-05-31,430.33000,430.33000,430.33000,430.33000
78,鋼筋價格指數,2017-04-30,423.81000,423.81000,423.81000,423.81000
79,鋼筋價格指數,2017-03-31,436.30000,436.30000,436.30000,436.30000
80,鋼筋價格指數,2017-02-28,413.50000,413.50000,413.50000,413.50000
81,鋼筋價格指數,2017-01-31,419.45000,419.45000,419.45000,419.45000
82,鋼筋價格指數,2016-12-31,428.25000,428.25000,428.25000,428.25000
83,鋼筋價格指數,2016-11-30,424.32000,424.32000,424.32000,424.32000
84,鋼筋價格指數,2016-10-31,375.60000,375.60000,375.60000,375.60000
85,鋼筋價格指數,2016-09-30,370.00000,370.00000,370.00000,370.00000
86,鋼筋價格指數,2016-08-31,381.68000,381.68000,381.68000,381.68000
87,鋼筋價格指數,2016-07-31,379.69000,379.69000,379.69000,379.69000
88,鋼筋價格指數,2016-06-30,398.59000,398.59000,398.59000,398.59000
89,鋼筋價格指數,2016-05-31,475.57000,475.57000,475.57000,475.57000
90,鋼筋價格指數,2016-04-30,454.00000,454.00000,454.00000,454.00000
91,鋼筋價格指數,2016-03-31,363.00000,363.00000,363.00000,363.00000
92,鋼筋價格指數,2016-02-29,318.81000,318.81000,318.81000,318.81000
93,鋼筋價格指數,2016-01-31,323.18000,323.18000,323.18000,323.18000
94,鋼筋價格指數,2015-12-31,326.38000,326.38000,326.38000,326.38000
95,台灣鋼鐵指數,2021-10-31,164.20000,176.00000,176.09000,159.68000
96,台灣鋼鐵指數,2021-09-30,177.06000,188.88000,194.39000,170.90000
97,台灣鋼鐵指數,2021-08-31,188.70000,189.45000,192.52000,170.57000
98,台灣鋼鐵指數,2021-07-31,187.65000,210.33000,214.52000,180.27000
99,台灣鋼鐵指數,2021-06-30,205.41000,179.17000,211.07000,167.48000
100,台灣鋼鐵指數,2021-05-31,177.23000,187.90000,216.71000,145.45000
101,台灣鋼鐵指數,2021-04-30,185.25000,123.55000,193.39000,123.36000
102,台灣鋼鐵指數,2021-03-31,123.40000,117.86000,123.40000,116.67000
103,台灣鋼鐵指數,2021-02-28,117.84000,105.07000,120.97000,104.96000
104,台灣鋼鐵指數,2021-01-31,105.10000,117.99000,124.87000,105.10000
105,台灣鋼鐵指數,2020-12-31,117.72000,106.91000,123.10000,106.27000
106,台灣鋼鐵指數,2020-11-30,106.70000,93.75000,108.93000,93.45000
107,台灣鋼鐵指數,2020-10-31,93.77000,92.69000,96.18000,92.69000
108,台灣鋼鐵指數,2020-09-30,92.69000,90.75000,97.10000,90.54000
109,台灣鋼鐵指數,2020-08-31,90.77000,87.39000,91.28000,86.78000
110,台灣鋼鐵指數,2020-07-31,87.42000,90.36000,92.10000,86.62000
111,台灣鋼鐵指數,2020-06-30,90.34000,87.86000,93.62000,87.86000
112,台灣鋼鐵指數,2020-05-31,87.82000,86.68000,89.12000,85.85000
113,台灣鋼鐵指數,2020-04-30,88.11000,82.55000,88.43000,81.57000
114,台灣鋼鐵指數,2020-03-31,82.55000,97.37000,99.28000,78.31000
115,台灣鋼鐵指數,2020-02-29,98.02000,98.05000,99.87000,96.80000
116,台灣鋼鐵指數,2020-01-31,98.33000,102.33000,102.77000,97.72000
117,台灣鋼鐵指數,2019-12-31,102.06000,99.34000,102.36000,98.76000
118,台灣鋼鐵指數,2019-11-30,99.34000,100.05000,101.78000,98.46000
119,台灣鋼鐵指數,2019-10-31,100.05000,100.16000,100.55000,98.49000
120,台灣鋼鐵指數,2019-09-30,99.39000,100.56000,103.02000,99.38000
121,台灣鋼鐵指數,2019-08-31,100.56000,105.40000,105.40000,99.47000
122,台灣鋼鐵指數,2019-07-31,105.53000,108.34000,108.88000,105.43000
123,台灣鋼鐵指數,2019-06-30,108.72000,106.33000,109.34000,105.68000
124,台灣鋼鐵指數,2019-05-31,106.59000,108.38000,108.86000,105.05000
125,台灣鋼鐵指數,2019-04-30,108.38000,109.96000,110.16000,108.05000
126,台灣鋼鐵指數,2019-03-31,110.06000,109.55000,110.27000,107.73000
