id,c_name,c_date,c_price,c_open,c_high,c_low
3946,道瓊鋼鐵指數,2021-10-19,377.03,374.07,377.27,367.22
3947,道瓊鋼鐵指數,2021-10-18,374.07,368.12,374.7,360.95
3948,道瓊鋼鐵指數,2021-10-15,372.56,372.7,380.57,372.43
3949,道瓊鋼鐵指數,2021-10-14,371.3,368.46,379.59,368.46
3950,道瓊鋼鐵指數,2021-10-13,368.17,369.08,371.21,363.12
3951,道瓊鋼鐵指數,2021-10-12,368.31,364.65,370.98,364.2
3952,道瓊鋼鐵指數,2021-10-11,364.43,358.49,373.36,358.49
3953,道瓊鋼鐵指數,2021-10-08,357.95,361.11,364.92,357.42
3954,道瓊鋼鐵指數,2021-10-07,360.81,351.83,367.35,351.83
3955,道瓊鋼鐵指數,2021-10-06,351.33,360.55,360.55,345.98
3956,道瓊鋼鐵指數,2021-10-05,362.77,355.78,364.39,352.83
3957,道瓊鋼鐵指數,2021-10-04,355.45,356.81,363.13,352.67
3958,道瓊鋼鐵指數,2021-10-01,355.8,357.64,359.28,344.77
3959,道瓊鋼鐵指數,2021-09-30,357.35,362.71,368.27,357.31
3960,道瓊鋼鐵指數,2021-09-29,361.67,373.31,378.46,360.06
3961,道瓊鋼鐵指數,2021-09-28,372.1,375.81,376.44,364.42
3962,道瓊鋼鐵指數,2021-09-27,375.81,364.88,376.08,364.88
3963,道瓊鋼鐵指數,2021-09-24,364.45,361.62,371.37,359.53
3964,道瓊鋼鐵指數,2021-09-23,362.95,356.19,369.07,356.19
3965,道瓊鋼鐵指數,2021-09-22,355.13,352.12,364.38,352.12
3966,道瓊鋼鐵指數,2021-09-21,351.29,353.91,356.52,341.46
3967,道瓊鋼鐵指數,2021-09-20,353.23,375.61,375.61,346.02
3968,道瓊鋼鐵指數,2021-09-17,377.94,390.17,390.17,375.27
3969,道瓊鋼鐵指數,2021-09-16,391.19,393.26,393.26,386.16
3970,道瓊鋼鐵指數,2021-09-15,394.94,384.93,395.36,384.93
3971,道瓊鋼鐵指數,2021-09-14,381.2,392.23,392.61,380.15
3972,道瓊鋼鐵指數,2021-09-13,392.13,402.89,405.65,384.47
3973,道瓊鋼鐵指數,2021-09-10,400.46,401.76,412.78,400.02
3974,道瓊鋼鐵指數,2021-09-09,401.43,400.26,404.8,397.21
3975,道瓊鋼鐵指數,2021-09-08,400.44,407.16,407.16,397.47
3976,道瓊鋼鐵指數,2021-09-07,407.34,406.55,412.18,405.22
3977,道瓊鋼鐵指數,2021-09-03,406.58,410.33,412.96,405.76
3978,道瓊鋼鐵指數,2021-09-02,410.06,411.47,414.59,408.59
3979,道瓊鋼鐵指數,2021-09-01,411.47,413.39,414.81,401.15
3980,道瓊鋼鐵指數,2021-08-31,415.29,427.71,427.71,412.47
3981,道瓊鋼鐵指數,2021-08-30,427.77,426.91,434.81,424.93
3982,道瓊鋼鐵指數,2021-08-27,426.7,418.4,430.58,418.4
3983,道瓊鋼鐵指數,2021-08-26,418.4,425.55,429.7,418.27
3984,道瓊鋼鐵指數,2021-08-25,425.33,433.5,436.6,424.86
3985,道瓊鋼鐵指數,2021-08-24,433.5,430.31,439.65,430.31
3986,道瓊鋼鐵指數,2021-08-23,422.58,414.7,426.72,414.7
3987,道瓊鋼鐵指數,2021-08-20,412.07,414.37,419.72,409.15
3988,道瓊鋼鐵指數,2021-08-19,414.37,424.32,424.32,408.7
3989,道瓊鋼鐵指數,2021-08-18,424.89,422.85,433.69,417.14
3990,道瓊鋼鐵指數,2021-08-17,423.15,436.8,437.25,415.86
3991,道瓊鋼鐵指數,2021-08-16,438.29,442.77,442.77,424.22
3992,道瓊鋼鐵指數,2021-08-13,445.96,441.86,453.23,441.24
3993,道瓊鋼鐵指數,2021-08-12,444.07,437.65,446.26,428.4
3994,道瓊鋼鐵指數,2021-08-11,437.7,422.91,437.75,422.91
3995,道瓊鋼鐵指數,2021-08-10,422.31,394.0,424.38,394.0
3996,道瓊鋼鐵指數,2021-08-09,393.41,383.42,394.47,379.6
3997,道瓊鋼鐵指數,2021-08-06,383.42,376.27,386.22,376.27
3998,道瓊鋼鐵指數,2021-08-05,374.83,383.89,386.83,374.53
3999,道瓊鋼鐵指數,2021-08-04,383.89,392.45,392.45,383.89
4000,道瓊鋼鐵指數,2021-08-03,392.8,379.88,393.12,377.04
4001,道瓊鋼鐵指數,2021-08-02,379.48,388.89,394.05,378.74
4002,道瓊鋼鐵指數,2021-07-30,387.34,387.12,392.18,383.34
4003,道瓊鋼鐵指數,2021-07-29,387.33,373.4,390.44,373.4
4004,道瓊鋼鐵指數,2021-07-28,371.49,369.61,373.7,361.08
4005,道瓊鋼鐵指數,2021-07-27,368.88,366.67,371.36,358.31
4006,道瓊鋼鐵指數,2021-07-26,368.06,357.32,368.93,357.32
4007,道瓊鋼鐵指數,2021-07-23,356.76,356.41,359.57,351.24
4008,道瓊鋼鐵指數,2021-07-22,355.19,356.94,358.19,348.5
4009,道瓊鋼鐵指數,2021-07-21,354.29,351.29,359.28,351.29
4010,道瓊鋼鐵指數,2021-07-20,349.7,340.45,351.39,335.41
4011,道瓊鋼鐵指數,2021-07-19,342.73,348.77,348.77,335.84
4012,道瓊鋼鐵指數,2021-07-16,351.41,362.43,362.95,350.36
4013,道瓊鋼鐵指數,2021-07-15,362.2,360.27,367.77,358.49
4014,道瓊鋼鐵指數,2021-07-14,360.27,363.24,368.11,357.93
4015,道瓊鋼鐵指數,2021-07-13,360.93,369.58,369.58,359.91
4016,道瓊鋼鐵指數,2021-07-12,369.58,365.63,371.46,358.94
4017,道瓊鋼鐵指數,2021-07-09,366.07,361.27,367.99,360.06
4018,道瓊鋼鐵指數,2021-07-08,354.9,361.95,361.95,347.85
4019,道瓊鋼鐵指數,2021-07-07,361.95,352.09,363.85,351.88
4020,道瓊鋼鐵指數,2021-07-06,350.55,363.44,364.29,347.54
4021,道瓊鋼鐵指數,2021-07-02,363.81,365.11,366.32,361.01
4022,道瓊鋼鐵指數,2021-07-01,364.74,362.9,366.6,359.38
4023,道瓊鋼鐵指數,2021-06-30,360.35,355.49,360.71,354.19
4024,道瓊鋼鐵指數,2021-06-29,355.48,356.56,361.49,355.05
4025,道瓊鋼鐵指數,2021-06-28,356.56,365.03,365.73,354.71
4026,道瓊鋼鐵指數,2021-06-25,364.03,367.89,370.16,363.78
4027,道瓊鋼鐵指數,2021-06-24,367.81,361.07,371.85,359.64
4028,道瓊鋼鐵指數,2021-06-23,360.55,360.67,369.75,360.08
4029,道瓊鋼鐵指數,2021-06-22,360.43,361.52,363.06,356.58
4030,道瓊鋼鐵指數,2021-06-21,361.64,352.62,362.7,352.62
4031,道瓊鋼鐵指數,2021-06-18,351.13,357.75,360.24,350.45
4032,道瓊鋼鐵指數,2021-06-17,359.54,377.54,378.45,354.42
4033,道瓊鋼鐵指數,2021-06-16,377.18,383.24,383.24,370.97
4034,道瓊鋼鐵指數,2021-06-15,384.93,386.52,387.13,375.52
4035,道瓊鋼鐵指數,2021-06-14,387.18,400.32,400.32,385.19
4036,道瓊鋼鐵指數,2021-06-11,400.32,401.24,405.37,396.96
4037,道瓊鋼鐵指數,2021-06-10,398.49,401.4,407.77,397.34
4038,道瓊鋼鐵指數,2021-06-09,401.4,409.56,409.56,401.29
4039,道瓊鋼鐵指數,2021-06-08,409.96,400.31,410.86,395.64
4040,道瓊鋼鐵指數,2021-06-07,398.06,402.75,404.4,391.87
4041,道瓊鋼鐵指數,2021-06-04,402.75,398.9,403.88,398.08
4042,道瓊鋼鐵指數,2021-06-03,397.85,391.65,398.48,384.54
4043,道瓊鋼鐵指數,2021-06-02,392.77,407.15,407.15,389.0
4044,道瓊鋼鐵指數,2021-06-01,407.15,390.38,407.54,390.38
4045,道瓊鋼鐵指數,2021-05-28,385.25,381.13,386.53,377.0
4046,道瓊鋼鐵指數,2021-05-27,381.82,380.9,389.88,380.9
4047,道瓊鋼鐵指數,2021-05-26,378.61,375.39,379.83,373.49
4048,道瓊鋼鐵指數,2021-05-25,375.32,386.47,388.2,375.17
4049,道瓊鋼鐵指數,2021-05-24,386.46,381.82,388.46,379.64
4050,道瓊鋼鐵指數,2021-05-21,381.82,380.95,387.93,379.36
4051,道瓊鋼鐵指數,2021-05-20,380.45,382.39,382.68,373.96
4052,道瓊鋼鐵指數,2021-05-19,382.47,379.57,383.91,368.35
4053,道瓊鋼鐵指數,2021-05-18,389.01,397.87,401.87,388.42
4054,道瓊鋼鐵指數,2021-05-17,397.87,388.23,398.32,386.25
4055,道瓊鋼鐵指數,2021-05-14,388.23,384.51,389.67,381.05
4056,道瓊鋼鐵指數,2021-05-13,385.71,369.94,388.64,369.94
4057,道瓊鋼鐵指數,2021-05-12,369.65,391.33,392.18,366.31
4058,道瓊鋼鐵指數,2021-05-11,391.46,388.86,396.82,380.67
4059,道瓊鋼鐵指數,2021-05-10,388.86,385.74,399.05,385.74
4060,道瓊鋼鐵指數,2021-05-07,383.66,374.55,385.48,368.83
4061,道瓊鋼鐵指數,2021-05-06,374.09,366.06,374.18,362.44
4062,道瓊鋼鐵指數,2021-05-05,363.87,355.86,364.86,352.3
4063,道瓊鋼鐵指數,2021-05-04,355.59,341.07,355.8,340.49
4064,道瓊鋼鐵指數,2021-05-03,341.6,329.05,345.01,329.05
4065,道瓊鋼鐵指數,2021-04-30,328.66,331.89,334.85,327.55
4066,道瓊鋼鐵指數,2021-04-29,332.27,330.53,335.01,326.61
4067,道瓊鋼鐵指數,2021-04-28,329.62,326.51,332.21,324.29
4068,道瓊鋼鐵指數,2021-04-27,326.57,325.67,328.46,323.68
4069,道瓊鋼鐵指數,2021-04-26,325.83,315.15,325.9,315.15
4070,道瓊鋼鐵指數,2021-04-23,315.15,310.72,315.8,307.9
4071,道瓊鋼鐵指數,2021-04-22,308.17,317.2,317.2,305.41
4072,道瓊鋼鐵指數,2021-04-21,317.83,311.07,318.37,308.24
4073,道瓊鋼鐵指數,2021-04-20,311.65,317.29,318.64,310.27
4074,道瓊鋼鐵指數,2021-04-19,316.79,318.44,321.5,311.97
4075,道瓊鋼鐵指數,2021-04-16,317.76,315.44,320.45,313.48
4076,道瓊鋼鐵指數,2021-04-15,315.44,316.79,319.26,312.79
4077,道瓊鋼鐵指數,2021-04-14,315.66,313.22,320.84,313.22
4078,道瓊鋼鐵指數,2021-04-13,312.62,319.92,320.68,310.79
4079,道瓊鋼鐵指數,2021-04-12,320.8,318.21,321.27,317.54
4080,道瓊鋼鐵指數,2021-04-09,318.41,318.69,322.94,316.14
4081,道瓊鋼鐵指數,2021-04-08,317.14,318.28,318.55,310.31
4082,道瓊鋼鐵指數,2021-04-07,318.62,319.18,321.37,316.76
4083,道瓊鋼鐵指數,2021-04-06,319.01,320.63,323.71,316.92
4084,道瓊鋼鐵指數,2021-04-05,322.4,319.27,326.82,319.27
4085,道瓊鋼鐵指數,2021-04-01,318.83,317.67,319.01,308.78
4086,道瓊鋼鐵指數,2021-03-31,317.93,318.83,326.01,314.56
4087,道瓊鋼鐵指數,2021-03-30,318.83,312.97,320.23,312.36
4088,道瓊鋼鐵指數,2021-03-29,313.01,318.74,328.39,312.85
4089,道瓊鋼鐵指數,2021-03-26,317.58,300.37,317.72,300.37
4090,道瓊鋼鐵指數,2021-03-25,295.19,283.61,296.24,281.27
4091,道瓊鋼鐵指數,2021-03-24,283.61,277.47,291.93,277.47
4092,道瓊鋼鐵指數,2021-03-23,276.89,285.64,285.85,274.92
4093,道瓊鋼鐵指數,2021-03-22,286.83,292.12,292.12,285.74
4094,道瓊鋼鐵指數,2021-03-19,292.12,290.78,294.33,282.04
4095,道瓊鋼鐵指數,2021-03-18,290.78,291.14,299.47,289.86
4096,道瓊鋼鐵指數,2021-03-17,291.14,286.95,292.03,285.81
4097,道瓊鋼鐵指數,2021-03-16,286.95,291.74,292.31,286.52
4098,道瓊鋼鐵指數,2021-03-15,291.74,294.4,294.4,285.6
4099,道瓊鋼鐵指數,2021-03-12,293.9,289.29,295.99,289.29
4100,道瓊鋼鐵指數,2021-03-11,288.72,288.79,292.1,287.06
