c_name,c_date,c_price,c_open,c_high,c_low
道瓊鋼鐵指數,2021-10-05,362.77,355.78,364.39,352.83
道瓊鋼鐵指數,2021-10-04,355.45,356.81,363.13,352.67
道瓊鋼鐵指數,2021-10-01,355.8,357.64,359.28,344.77
道瓊鋼鐵指數,2021-09-30,357.35,362.71,368.27,357.31
道瓊鋼鐵指數,2021-09-29,361.67,373.31,378.46,360.06
道瓊鋼鐵指數,2021-09-28,372.1,375.81,376.44,364.42
道瓊鋼鐵指數,2021-09-27,375.81,364.88,376.08,364.88
道瓊鋼鐵指數,2021-09-24,364.45,361.62,371.37,359.53
道瓊鋼鐵指數,2021-09-23,362.95,356.19,369.07,356.19
道瓊鋼鐵指數,2021-09-22,355.13,352.12,364.38,352.12
道瓊鋼鐵指數,2021-09-21,351.29,353.91,356.52,341.46
道瓊鋼鐵指數,2021-09-20,353.23,375.61,375.61,346.02
道瓊鋼鐵指數,2021-09-17,377.94,390.17,390.17,375.27
道瓊鋼鐵指數,2021-09-16,391.19,393.26,393.26,386.16
道瓊鋼鐵指數,2021-09-15,394.94,384.93,395.36,384.93
道瓊鋼鐵指數,2021-09-14,381.2,392.23,392.61,380.15
道瓊鋼鐵指數,2021-09-13,392.13,402.89,405.65,384.47
道瓊鋼鐵指數,2021-09-10,400.46,401.76,412.78,400.02
道瓊鋼鐵指數,2021-09-09,401.43,400.26,404.8,397.21
道瓊鋼鐵指數,2021-09-08,400.44,407.16,407.16,397.47
道瓊鋼鐵指數,2021-09-07,407.34,406.55,412.18,405.22
道瓊鋼鐵指數,2021-09-03,406.58,410.33,412.96,405.76
道瓊鋼鐵指數,2021-09-02,410.06,411.47,414.59,408.59
道瓊鋼鐵指數,2021-09-01,411.47,413.39,414.81,401.15
道瓊鋼鐵指數,2021-08-31,415.29,427.71,427.71,412.47
道瓊鋼鐵指數,2021-08-30,427.77,426.91,434.81,424.93
道瓊鋼鐵指數,2021-08-27,426.7,418.4,430.58,418.4
道瓊鋼鐵指數,2021-08-26,418.4,425.55,429.7,418.27
道瓊鋼鐵指數,2021-08-25,425.33,433.5,436.6,424.86
道瓊鋼鐵指數,2021-08-24,433.5,430.31,439.65,430.31
道瓊鋼鐵指數,2021-08-23,422.58,414.7,426.72,414.7
道瓊鋼鐵指數,2021-08-20,412.07,414.37,419.72,409.15
道瓊鋼鐵指數,2021-08-19,414.37,424.32,424.32,408.7
道瓊鋼鐵指數,2021-08-18,424.89,422.85,433.69,417.14
道瓊鋼鐵指數,2021-08-17,423.15,436.8,437.25,415.86
道瓊鋼鐵指數,2021-08-16,438.29,442.77,442.77,424.22
道瓊鋼鐵指數,2021-08-13,445.96,441.86,453.23,441.24
道瓊鋼鐵指數,2021-08-12,444.07,437.65,446.26,428.4
道瓊鋼鐵指數,2021-08-11,437.7,422.91,437.75,422.91
道瓊鋼鐵指數,2021-08-10,422.31,394.0,424.38,394.0
道瓊鋼鐵指數,2021-08-09,393.41,383.42,394.47,379.6
道瓊鋼鐵指數,2021-08-06,383.42,376.27,386.22,376.27
道瓊鋼鐵指數,2021-08-05,374.83,383.89,386.83,374.53
道瓊鋼鐵指數,2021-08-04,383.89,392.45,392.45,383.89
道瓊鋼鐵指數,2021-08-03,392.8,379.88,393.12,377.04
道瓊鋼鐵指數,2021-08-02,379.48,388.89,394.05,378.74
道瓊鋼鐵指數,2021-07-30,387.34,387.12,392.18,383.34
道瓊鋼鐵指數,2021-07-29,387.33,373.4,390.44,373.4
道瓊鋼鐵指數,2021-07-28,371.49,369.61,373.7,361.08
道瓊鋼鐵指數,2021-07-27,368.88,366.67,371.36,358.31
道瓊鋼鐵指數,2021-07-26,368.06,357.32,368.93,357.32
道瓊鋼鐵指數,2021-07-23,356.76,356.41,359.57,351.24
道瓊鋼鐵指數,2021-07-22,355.19,356.94,358.19,348.5
道瓊鋼鐵指數,2021-07-21,354.29,351.29,359.28,351.29
道瓊鋼鐵指數,2021-07-20,349.7,340.45,351.39,335.41
道瓊鋼鐵指數,2021-07-19,342.73,348.77,348.77,335.84
道瓊鋼鐵指數,2021-07-16,351.41,362.43,362.95,350.36
道瓊鋼鐵指數,2021-07-15,362.2,360.27,367.77,358.49
道瓊鋼鐵指數,2021-07-14,360.27,363.24,368.11,357.93
道瓊鋼鐵指數,2021-07-13,360.93,369.58,369.58,359.91
道瓊鋼鐵指數,2021-07-12,369.58,365.63,371.46,358.94
道瓊鋼鐵指數,2021-07-09,366.07,361.27,367.99,360.06
道瓊鋼鐵指數,2021-07-08,354.9,361.95,361.95,347.85
道瓊鋼鐵指數,2021-07-07,361.95,352.09,363.85,351.88
道瓊鋼鐵指數,2021-07-06,350.55,363.44,364.29,347.54
道瓊鋼鐵指數,2021-07-02,363.81,365.11,366.32,361.01
道瓊鋼鐵指數,2021-07-01,364.74,362.9,366.6,359.38
道瓊鋼鐵指數,2021-06-30,360.35,355.49,360.71,354.19
道瓊鋼鐵指數,2021-06-29,355.48,356.56,361.49,355.05
道瓊鋼鐵指數,2021-06-28,356.56,365.03,365.73,354.71
道瓊鋼鐵指數,2021-06-25,364.03,367.89,370.16,363.78
道瓊鋼鐵指數,2021-06-24,367.81,361.07,371.85,359.64
道瓊鋼鐵指數,2021-06-23,360.55,360.67,369.75,360.08
道瓊鋼鐵指數,2021-06-22,360.43,361.52,363.06,356.58
道瓊鋼鐵指數,2021-06-21,361.64,352.62,362.7,352.62
道瓊鋼鐵指數,2021-06-18,351.13,357.75,360.24,350.45
道瓊鋼鐵指數,2021-06-17,359.54,377.54,378.45,354.42
道瓊鋼鐵指數,2021-06-16,377.18,383.24,383.24,370.97
道瓊鋼鐵指數,2021-06-15,384.93,386.52,387.13,375.52
道瓊鋼鐵指數,2021-06-14,387.18,400.32,400.32,385.19
道瓊鋼鐵指數,2021-06-11,400.32,401.24,405.37,396.96
道瓊鋼鐵指數,2021-06-10,398.49,401.4,407.77,397.34
道瓊鋼鐵指數,2021-06-09,401.4,409.56,409.56,401.29
道瓊鋼鐵指數,2021-06-08,409.96,400.31,410.86,395.64
道瓊鋼鐵指數,2021-06-07,398.06,402.75,404.4,391.87
道瓊鋼鐵指數,2021-06-04,402.75,398.9,403.88,398.08
道瓊鋼鐵指數,2021-06-03,397.85,391.65,398.48,384.54
道瓊鋼鐵指數,2021-06-02,392.77,407.15,407.15,389.0
道瓊鋼鐵指數,2021-06-01,407.15,390.38,407.54,390.38
道瓊鋼鐵指數,2021-05-28,385.25,381.13,386.53,377.0
道瓊鋼鐵指數,2021-05-27,381.82,380.9,389.88,380.9
道瓊鋼鐵指數,2021-05-26,378.61,375.39,379.83,373.49
道瓊鋼鐵指數,2021-05-25,375.32,386.47,388.2,375.17
道瓊鋼鐵指數,2021-05-24,386.46,381.82,388.46,379.64
道瓊鋼鐵指數,2021-05-21,381.82,380.95,387.93,379.36
道瓊鋼鐵指數,2021-05-20,380.45,382.39,382.68,373.96
