id,c_name,c_date,c_price,c_open,c_high,c_low
1,台灣鋼鐵指數,2021-10-18,164.20000,163.95000,166.25000,162.82000
2,台灣鋼鐵指數,2021-10-15,163.31000,162.32000,163.96000,162.09000
3,台灣鋼鐵指數,2021-10-14,161.36000,160.23000,162.09000,159.68000
4,台灣鋼鐵指數,2021-10-13,159.48000,162.93000,163.99000,158.63000
5,台灣鋼鐵指數,2021-10-12,162.45000,163.09000,165.42000,161.70000
6,台灣鋼鐵指數,2021-10-08,163.61000,168.35000,169.53000,162.93000
7,台灣鋼鐵指數,2021-10-07,167.94000,167.59000,168.50000,165.26000
8,台灣鋼鐵指數,2021-10-06,168.21000,171.19000,171.68000,167.63000
9,台灣鋼鐵指數,2021-10-05,171.06000,166.77000,171.06000,165.03000
10,台灣鋼鐵指數,2021-10-04,167.45000,173.22000,173.87000,167.36000
11,台灣鋼鐵指數,2021-10-01,172.57000,176.00000,176.09000,171.69000
12,台灣鋼鐵指數,2021-09-30,177.06000,172.45000,177.36000,172.45000
13,台灣鋼鐵指數,2021-09-29,171.73000,172.01000,174.26000,170.90000
14,台灣鋼鐵指數,2021-09-28,173.62000,174.98000,175.15000,173.23000
15,台灣鋼鐵指數,2021-09-27,175.14000,175.51000,177.58000,174.74000
16,台灣鋼鐵指數,2021-09-24,175.11000,175.72000,176.60000,175.06000
17,台灣鋼鐵指數,2021-09-23,174.85000,176.59000,177.84000,173.58000
18,台灣鋼鐵指數,2021-09-22,174.94000,178.35000,178.35000,174.72000
19,台灣鋼鐵指數,2021-09-17,183.23000,185.26000,187.03000,182.65000
20,台灣鋼鐵指數,2021-09-16,185.40000,188.99000,189.66000,185.25000
21,台灣鋼鐵指數,2021-09-15,188.67000,189.26000,189.45000,186.27000
22,台灣鋼鐵指數,2021-09-14,190.40000,193.38000,194.02000,188.90000
23,台灣鋼鐵指數,2021-09-13,193.51000,188.79000,194.39000,188.79000
24,台灣鋼鐵指數,2021-09-10,188.53000,186.11000,190.58000,186.11000
25,台灣鋼鐵指數,2021-09-09,185.78000,181.41000,185.84000,181.37000
26,台灣鋼鐵指數,2021-09-08,181.86000,185.79000,188.66000,181.25000
27,台灣鋼鐵指數,2021-09-07,185.88000,187.85000,189.06000,184.30000
