id,c_name,c_date,c_price,c_open,c_high,c_low
2455,鋼筋價格指數,2021-10-18,711.5,711.5,711.5,711.5
2456,鋼筋價格指數,2021-10-15,711.5,711.5,711.5,711.5
2457,鋼筋價格指數,2021-10-14,714.0,714.0,714.0,714.0
2458,鋼筋價格指數,2021-10-13,714.0,714.0,714.0,714.0
2459,鋼筋價格指數,2021-10-12,707.0,707.0,707.0,707.0
2460,鋼筋價格指數,2021-10-11,712.0,712.0,712.0,712.0
2461,鋼筋價格指數,2021-10-08,700.0,700.0,700.0,700.0
2462,鋼筋價格指數,2021-10-07,700.0,700.0,700.0,700.0
2463,鋼筋價格指數,2021-10-06,691.5,691.5,691.5,691.5
2464,鋼筋價格指數,2021-10-05,700.0,700.0,700.0,700.0
2465,鋼筋價格指數,2021-10-04,690.5,690.5,690.5,690.5
2466,鋼筋價格指數,2021-10-01,681.0,681.0,681.0,681.0
2467,鋼筋價格指數,2021-09-30,665.32,665.32,665.32,665.32
2468,鋼筋價格指數,2021-09-29,665.0,665.0,665.0,665.0
2469,鋼筋價格指數,2021-09-28,665.0,665.0,665.0,665.0
2470,鋼筋價格指數,2021-09-27,670.0,670.0,670.0,670.0
2471,鋼筋價格指數,2021-09-24,668.0,668.0,668.0,668.0
2472,鋼筋價格指數,2021-09-23,667.0,667.0,667.0,667.0
2473,鋼筋價格指數,2021-09-22,674.0,674.0,674.0,674.0
2474,鋼筋價格指數,2021-09-21,667.5,667.5,667.5,667.5
2475,鋼筋價格指數,2021-09-20,661.0,661.0,661.0,661.0
2476,鋼筋價格指數,2021-09-17,669.0,669.0,669.0,669.0
2477,鋼筋價格指數,2021-09-16,660.0,660.0,660.0,660.0
2478,鋼筋價格指數,2021-09-15,660.0,660.0,660.0,660.0
2479,鋼筋價格指數,2021-09-14,664.0,664.0,664.0,664.0
2480,鋼筋價格指數,2021-09-13,679.0,679.0,679.0,679.0
2481,鋼筋價格指數,2021-09-10,685.0,685.0,685.0,685.0
2482,鋼筋價格指數,2021-09-09,676.5,676.5,676.5,676.5
2483,鋼筋價格指數,2021-09-08,667.5,667.5,667.5,667.5
2484,鋼筋價格指數,2021-09-07,668.5,668.5,668.5,668.5
2485,鋼筋價格指數,2021-09-06,671.5,671.5,671.5,671.5
2486,鋼筋價格指數,2021-09-03,671.5,671.5,671.5,671.5
2487,鋼筋價格指數,2021-09-02,668.0,668.0,668.0,668.0
2488,鋼筋價格指數,2021-09-01,671.5,671.5,671.5,671.5
2489,鋼筋價格指數,2021-08-31,688.07,688.07,688.07,688.07
2490,鋼筋價格指數,2021-08-27,687.5,687.5,687.5,687.5
2491,鋼筋價格指數,2021-08-26,688.0,688.0,688.0,688.0
2492,鋼筋價格指數,2021-08-25,690.0,690.0,690.0,690.0
2493,鋼筋價格指數,2021-08-24,690.0,690.0,690.0,690.0
2494,鋼筋價格指數,2021-08-23,690.0,690.0,690.0,690.0
2495,鋼筋價格指數,2021-08-20,692.5,692.5,692.5,692.5
2496,鋼筋價格指數,2021-08-19,692.5,692.5,692.5,692.5
2497,鋼筋價格指數,2021-08-18,692.5,692.5,692.5,692.5
2498,鋼筋價格指數,2021-08-17,692.5,692.5,692.5,692.5
2499,鋼筋價格指數,2021-08-16,692.5,692.5,692.5,692.5
2500,鋼筋價格指數,2021-08-13,696.5,696.5,696.5,696.5
2501,鋼筋價格指數,2021-08-12,696.5,696.5,696.5,696.5
2502,鋼筋價格指數,2021-08-11,696.5,696.5,696.5,696.5
2503,鋼筋價格指數,2021-08-10,694.5,694.5,694.5,694.5
2504,鋼筋價格指數,2021-08-09,698.0,698.0,698.0,698.0
2505,鋼筋價格指數,2021-08-06,694.5,694.5,694.5,694.5
2506,鋼筋價格指數,2021-08-05,706.0,706.0,706.0,706.0
2507,鋼筋價格指數,2021-08-04,710.0,710.0,710.0,710.0
2508,鋼筋價格指數,2021-08-03,708.5,708.5,708.5,708.5
2509,鋼筋價格指數,2021-08-02,719.0,719.0,719.0,719.0
2510,鋼筋價格指數,2021-07-30,720.57,720.57,720.57,720.57
2511,鋼筋價格指數,2021-07-29,723.0,723.0,723.0,723.0
2512,鋼筋價格指數,2021-07-28,722.5,722.5,722.5,722.5
2513,鋼筋價格指數,2021-07-27,724.0,724.0,724.0,724.0
2514,鋼筋價格指數,2021-07-26,724.0,724.0,724.0,724.0
2515,鋼筋價格指數,2021-07-23,726.5,726.5,726.5,726.5
2516,鋼筋價格指數,2021-07-22,731.5,731.5,731.5,731.5
2517,鋼筋價格指數,2021-07-21,729.0,729.0,729.0,729.0
2518,鋼筋價格指數,2021-07-20,725.0,725.0,725.0,725.0
2519,鋼筋價格指數,2021-07-19,726.0,726.0,726.0,726.0
2520,鋼筋價格指數,2021-07-16,724.0,724.0,724.0,724.0
2521,鋼筋價格指數,2021-07-15,727.0,727.0,727.0,727.0
2522,鋼筋價格指數,2021-07-14,727.0,727.0,727.0,727.0
2523,鋼筋價格指數,2021-07-13,727.0,727.0,727.0,727.0
2524,鋼筋價格指數,2021-07-12,753.0,753.0,753.0,753.0
2525,鋼筋價格指數,2021-07-09,736.5,736.5,736.5,736.5
2526,鋼筋價格指數,2021-07-08,740.0,740.0,740.0,740.0
2527,鋼筋價格指數,2021-07-07,745.0,745.0,745.0,745.0
2528,鋼筋價格指數,2021-07-06,742.0,742.0,742.0,742.0
2529,鋼筋價格指數,2021-07-05,741.5,741.5,741.5,741.5
2530,鋼筋價格指數,2021-07-02,736.0,736.0,736.0,736.0
2531,鋼筋價格指數,2021-07-01,737.5,737.5,737.5,737.5
2532,鋼筋價格指數,2021-06-30,726.48,726.48,726.48,726.48
2533,鋼筋價格指數,2021-06-29,730.0,730.0,730.0,730.0
2534,鋼筋價格指數,2021-06-28,735.0,735.0,735.0,735.0
2535,鋼筋價格指數,2021-06-25,738.0,738.0,738.0,738.0
2536,鋼筋價格指數,2021-06-24,725.0,725.0,725.0,725.0
2537,鋼筋價格指數,2021-06-23,725.0,725.0,725.0,725.0
2538,鋼筋價格指數,2021-06-22,725.0,725.0,725.0,725.0
2539,鋼筋價格指數,2021-06-21,725.0,725.0,725.0,725.0
2540,鋼筋價格指數,2021-06-18,725.0,725.0,725.0,725.0
2541,鋼筋價格指數,2021-06-17,725.0,725.0,725.0,725.0
2542,鋼筋價格指數,2021-06-16,725.0,725.0,725.0,725.0
2543,鋼筋價格指數,2021-06-15,720.0,720.0,720.0,720.0
2544,鋼筋價格指數,2021-06-14,715.0,715.0,715.0,715.0
2545,鋼筋價格指數,2021-06-11,715.0,715.0,715.0,715.0
2546,鋼筋價格指數,2021-06-10,715.0,715.0,715.0,715.0
2547,鋼筋價格指數,2021-06-09,715.0,715.0,715.0,715.0
2548,鋼筋價格指數,2021-06-08,715.0,715.0,715.0,715.0
2549,鋼筋價格指數,2021-06-07,715.0,715.0,715.0,715.0
2550,鋼筋價格指數,2021-06-04,755.0,755.0,755.0,755.0
2551,鋼筋價格指數,2021-06-03,755.0,755.0,755.0,755.0
2552,鋼筋價格指數,2021-06-02,755.0,755.0,755.0,755.0
2553,鋼筋價格指數,2021-06-01,755.0,755.0,755.0,755.0
2554,鋼筋價格指數,2021-05-28,744.21,744.21,744.21,744.21
2555,鋼筋價格指數,2021-05-27,744.0,744.0,744.0,744.0
2556,鋼筋價格指數,2021-05-26,746.0,746.0,746.0,746.0
2557,鋼筋價格指數,2021-05-25,745.0,745.0,745.0,745.0
2558,鋼筋價格指數,2021-05-24,748.5,748.5,748.5,748.5
2559,鋼筋價格指數,2021-05-21,742.0,742.0,742.0,742.0
2560,鋼筋價格指數,2021-05-20,752.0,752.0,752.0,752.0
2561,鋼筋價格指數,2021-05-19,756.0,756.0,756.0,756.0
2562,鋼筋價格指數,2021-05-18,771.5,771.5,771.5,771.5
2563,鋼筋價格指數,2021-05-17,769.5,769.5,769.5,769.5
2564,鋼筋價格指數,2021-05-14,775.0,775.0,775.0,775.0
2565,鋼筋價格指數,2021-05-13,780.5,780.5,780.5,780.5
2566,鋼筋價格指數,2021-05-12,794.0,794.0,794.0,794.0
2567,鋼筋價格指數,2021-05-11,750.0,750.0,750.0,750.0
2568,鋼筋價格指數,2021-05-10,750.0,750.0,750.0,750.0
2569,鋼筋價格指數,2021-05-07,710.0,710.0,710.0,710.0
2570,鋼筋價格指數,2021-05-06,730.0,730.0,730.0,730.0
