c_name,c_date,c_price,c_open,c_high,c_low
鋼筋價格指數,2021-10-04,690.5,690.5,690.5,690.5
鋼筋價格指數,2021-10-01,681.0,681.0,681.0,681.0
鋼筋價格指數,2021-09-30,665.32,665.32,665.32,665.32
鋼筋價格指數,2021-09-29,665.0,665.0,665.0,665.0
鋼筋價格指數,2021-09-28,665.0,665.0,665.0,665.0
鋼筋價格指數,2021-09-27,670.0,670.0,670.0,670.0
鋼筋價格指數,2021-09-24,668.0,668.0,668.0,668.0
鋼筋價格指數,2021-09-23,667.0,667.0,667.0,667.0
鋼筋價格指數,2021-09-22,674.0,674.0,674.0,674.0
鋼筋價格指數,2021-09-21,667.5,667.5,667.5,667.5
鋼筋價格指數,2021-09-20,661.0,661.0,661.0,661.0
鋼筋價格指數,2021-09-17,669.0,669.0,669.0,669.0
鋼筋價格指數,2021-09-16,660.0,660.0,660.0,660.0
鋼筋價格指數,2021-09-15,660.0,660.0,660.0,660.0
鋼筋價格指數,2021-09-14,664.0,664.0,664.0,664.0
鋼筋價格指數,2021-09-13,679.0,679.0,679.0,679.0
鋼筋價格指數,2021-09-10,685.0,685.0,685.0,685.0
鋼筋價格指數,2021-09-09,676.5,676.5,676.5,676.5
鋼筋價格指數,2021-09-08,667.5,667.5,667.5,667.5
鋼筋價格指數,2021-09-07,668.5,668.5,668.5,668.5
鋼筋價格指數,2021-09-06,671.5,671.5,671.5,671.5
鋼筋價格指數,2021-09-03,671.5,671.5,671.5,671.5
鋼筋價格指數,2021-09-02,668.0,668.0,668.0,668.0
鋼筋價格指數,2021-09-01,671.5,671.5,671.5,671.5
鋼筋價格指數,2021-08-31,688.07,688.07,688.07,688.07
鋼筋價格指數,2021-08-27,687.5,687.5,687.5,687.5
鋼筋價格指數,2021-08-26,688.0,688.0,688.0,688.0
鋼筋價格指數,2021-08-25,690.0,690.0,690.0,690.0
鋼筋價格指數,2021-08-24,690.0,690.0,690.0,690.0
鋼筋價格指數,2021-08-23,690.0,690.0,690.0,690.0
鋼筋價格指數,2021-08-20,692.5,692.5,692.5,692.5
鋼筋價格指數,2021-08-19,692.5,692.5,692.5,692.5
鋼筋價格指數,2021-08-18,692.5,692.5,692.5,692.5
鋼筋價格指數,2021-08-17,692.5,692.5,692.5,692.5
鋼筋價格指數,2021-08-16,692.5,692.5,692.5,692.5
鋼筋價格指數,2021-08-13,696.5,696.5,696.5,696.5
鋼筋價格指數,2021-08-12,696.5,696.5,696.5,696.5
鋼筋價格指數,2021-08-11,696.5,696.5,696.5,696.5
鋼筋價格指數,2021-08-10,694.5,694.5,694.5,694.5
鋼筋價格指數,2021-08-09,698.0,698.0,698.0,698.0
鋼筋價格指數,2021-08-06,694.5,694.5,694.5,694.5
鋼筋價格指數,2021-08-05,706.0,706.0,706.0,706.0
鋼筋價格指數,2021-08-04,710.0,710.0,710.0,710.0
鋼筋價格指數,2021-08-03,708.5,708.5,708.5,708.5
鋼筋價格指數,2021-08-02,719.0,719.0,719.0,719.0
鋼筋價格指數,2021-07-30,720.57,720.57,720.57,720.57
鋼筋價格指數,2021-07-29,723.0,723.0,723.0,723.0
鋼筋價格指數,2021-07-28,722.5,722.5,722.5,722.5
鋼筋價格指數,2021-07-27,724.0,724.0,724.0,724.0
鋼筋價格指數,2021-07-26,724.0,724.0,724.0,724.0
鋼筋價格指數,2021-07-23,726.5,726.5,726.5,726.5
鋼筋價格指數,2021-07-22,731.5,731.5,731.5,731.5
鋼筋價格指數,2021-07-21,729.0,729.0,729.0,729.0
鋼筋價格指數,2021-07-20,725.0,725.0,725.0,725.0
鋼筋價格指數,2021-07-19,726.0,726.0,726.0,726.0
鋼筋價格指數,2021-07-16,724.0,724.0,724.0,724.0
鋼筋價格指數,2021-07-15,727.0,727.0,727.0,727.0
鋼筋價格指數,2021-07-14,727.0,727.0,727.0,727.0
鋼筋價格指數,2021-07-13,727.0,727.0,727.0,727.0
鋼筋價格指數,2021-07-12,753.0,753.0,753.0,753.0
鋼筋價格指數,2021-07-09,736.5,736.5,736.5,736.5
鋼筋價格指數,2021-07-08,740.0,740.0,740.0,740.0
鋼筋價格指數,2021-07-07,745.0,745.0,745.0,745.0
鋼筋價格指數,2021-07-06,742.0,742.0,742.0,742.0
鋼筋價格指數,2021-07-05,741.5,741.5,741.5,741.5
鋼筋價格指數,2021-07-02,736.0,736.0,736.0,736.0
鋼筋價格指數,2021-07-01,737.5,737.5,737.5,737.5
鋼筋價格指數,2021-06-30,726.48,726.48,726.48,726.48
鋼筋價格指數,2021-06-29,730.0,730.0,730.0,730.0
鋼筋價格指數,2021-06-28,735.0,735.0,735.0,735.0
鋼筋價格指數,2021-06-25,738.0,738.0,738.0,738.0
鋼筋價格指數,2021-06-24,725.0,725.0,725.0,725.0
鋼筋價格指數,2021-06-23,725.0,725.0,725.0,725.0
鋼筋價格指數,2021-06-22,725.0,725.0,725.0,725.0
鋼筋價格指數,2021-06-21,725.0,725.0,725.0,725.0
鋼筋價格指數,2021-06-18,725.0,725.0,725.0,725.0
鋼筋價格指數,2021-06-17,725.0,725.0,725.0,725.0
鋼筋價格指數,2021-06-16,725.0,725.0,725.0,725.0
鋼筋價格指數,2021-06-15,720.0,720.0,720.0,720.0
鋼筋價格指數,2021-06-14,715.0,715.0,715.0,715.0
鋼筋價格指數,2021-06-11,715.0,715.0,715.0,715.0
鋼筋價格指數,2021-06-10,715.0,715.0,715.0,715.0
鋼筋價格指數,2021-06-09,715.0,715.0,715.0,715.0
鋼筋價格指數,2021-06-08,715.0,715.0,715.0,715.0
鋼筋價格指數,2021-06-07,715.0,715.0,715.0,715.0
鋼筋價格指數,2021-06-04,755.0,755.0,755.0,755.0
鋼筋價格指數,2021-06-03,755.0,755.0,755.0,755.0
鋼筋價格指數,2021-06-02,755.0,755.0,755.0,755.0
