id,c_name,c_date,c_price,c_open,c_high,c_low
1,台灣鋼鐵指數,2021-10-18,164.2,163.95,166.25,162.82
2,台灣鋼鐵指數,2021-10-15,163.31,162.32,163.96,162.09
3,台灣鋼鐵指數,2021-10-14,161.36,160.23,162.09,159.68
4,台灣鋼鐵指數,2021-10-13,159.48,162.93,163.99,158.63
5,台灣鋼鐵指數,2021-10-12,162.45,163.09,165.42,161.7
6,台灣鋼鐵指數,2021-10-08,163.61,168.35,169.53,162.93
7,台灣鋼鐵指數,2021-10-07,167.94,167.59,168.5,165.26
8,台灣鋼鐵指數,2021-10-06,168.21,171.19,171.68,167.63
9,台灣鋼鐵指數,2021-10-05,171.06,166.77,171.06,165.03
10,台灣鋼鐵指數,2021-10-04,167.45,173.22,173.87,167.36
11,台灣鋼鐵指數,2021-10-01,172.57,176.0,176.09,171.69
12,台灣鋼鐵指數,2021-09-30,177.06,172.45,177.36,172.45
13,台灣鋼鐵指數,2021-09-29,171.73,172.01,174.26,170.9
14,台灣鋼鐵指數,2021-09-28,173.62,174.98,175.15,173.23
15,台灣鋼鐵指數,2021-09-27,175.14,175.51,177.58,174.74
16,台灣鋼鐵指數,2021-09-24,175.11,175.72,176.6,175.06
17,台灣鋼鐵指數,2021-09-23,174.85,176.59,177.84,173.58
18,台灣鋼鐵指數,2021-09-22,174.94,178.35,178.35,174.72
19,台灣鋼鐵指數,2021-09-17,183.23,185.26,187.03,182.65
20,台灣鋼鐵指數,2021-09-16,185.4,188.99,189.66,185.25
21,台灣鋼鐵指數,2021-09-15,188.67,189.26,189.45,186.27
22,台灣鋼鐵指數,2021-09-14,190.4,193.38,194.02,188.9
23,台灣鋼鐵指數,2021-09-13,193.51,188.79,194.39,188.79
24,台灣鋼鐵指數,2021-09-10,188.53,186.11,190.58,186.11
25,台灣鋼鐵指數,2021-09-09,185.78,181.41,185.84,181.37
26,台灣鋼鐵指數,2021-09-08,181.86,185.79,188.66,181.25
27,台灣鋼鐵指數,2021-09-07,185.88,187.85,189.06,184.3
28,台灣鋼鐵指數,2021-09-06,187.09,184.8,189.1,184.24
29,台灣鋼鐵指數,2021-09-03,183.73,183.89,187.32,183.09
30,台灣鋼鐵指數,2021-09-02,182.64,187.55,187.99,182.64
31,台灣鋼鐵指數,2021-09-01,187.17,188.88,191.61,187.14
32,台灣鋼鐵指數,2021-08-31,188.7,185.69,189.31,184.54
33,台灣鋼鐵指數,2021-08-30,185.61,184.72,187.26,183.39
34,台灣鋼鐵指數,2021-08-27,183.71,182.88,184.68,180.75
